"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Edmonton,,,,
Global non-response rate (GNR) =   5.7 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
    32 Technical occupations in health,15480,51557,54214,
      321 Medical technologists and technicians (except dental health),6485,55386,58118,
        3211 Medical laboratory technologists,930,82889,74177,
        3212 Medical laboratory technicians and pathologists' assistants,1225,50343,48280,
        3213 Animal health technologists and veterinary technicians,635,36200,34526,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",780,75247,76132,
        3215 Medical radiation technologists,975,73433,71904,
        3216 Medical sonographers,400,80131,74079,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",70,74995,68980,
        3219 Other medical technologists and technicians (except dental health),1470,39572,42924,
      322 Technical occupations in dental health care,1290,66398,66503,
        3221 Denturists,100,68808,74661,
        3222 Dental hygienists and dental therapists,920,73221,69557,
"        3223 Dental technologists, technicians and laboratory assistants",270,48025,53277,
      323 Other technical occupations in health care,7700,46665,48868,
        3231 Opticians,590,45944,48405,
        3232 Practitioners of natural healing,340,18001,26565,
        3233 Licensed practical nurses,3090,54037,53083,
        3234 Paramedical occupations,1485,71930,72803,
        3236 Massage therapists,1640,24760,27723,
        3237 Other technical occupations in therapy and assessment,555,33564,38123,
    34 Assisting occupations in support of health services,12655,41418,41025,
      341 Assisting occupations in support of health services,12655,41418,41025,
        3411 Dental assistants,1860,47136,44070,
