"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Kelowna,,,,
Global non-response rate (GNR) =   6.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
      401 University professors and post-secondary assistants,810,40816,62215,
        4011 University professors and lecturers,470,100853,94084,
        4012 Post-secondary teaching and research assistants,340,10426,18415,
      402 College and other vocational instructors,535,66978,61472,
        4021 College and other vocational instructors,535,66978,61472,
      403 Secondary and elementary school teachers and educational counsellors,1960,66767,58437,
        4031 Secondary school teachers,625,66798,59803,
        4032 Elementary school and kindergarten teachers,1225,67765,58604,
        4033 Educational counsellors,110,52533,48633,
"    41 Professional occupations in law and social, community and government services",2280,47237,58827,
"      411 Judges, lawyers and Quebec notaries",370,100595,114254,
        4111 Judges,25,0,0,
        4112 Lawyers and Quebec notaries,350,99028,110757,
      415 Social and community service professionals,910,45164,47134,
        4151 Psychologists,60,57510,72749,
        4152 Social workers,330,45137,45454,
"        4153 Family, marriage and other related counsellors",200,36239,37962,
        4154 Professional occupations in religion,205,42900,45940,
        4155 Probation and parole officers and related occupations,20,0,0,
        4156 Employment counsellors,95,46156,55752,
"      416 Policy and program researchers, consultants and officers",1000,45126,48926,
"        4161 Natural and applied science policy researchers, consultants and program officers",110,71524,76306,
        4162 Economists and economic policy researchers and analysts,30,83208,71693,
        4163 Business development officers and marketing researchers and consultants,315,45245,50589,
"        4164 Social policy researchers, consultants and program officers",40,55934,54224,
"        4165 Health policy researchers, consultants and program officers",165,41993,50762,
"        4166 Education policy researchers, consultants and program officers",135,41664,44052,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",75,39265,39566,
        4168 Program officers unique to government,95,2313,14803,
"        4169 Other professional occupations in social science, n.e.c.",20,0,47068,
"    42 Paraprofessional occupations in legal, social, community and education services",1720,27825,29884,
"      421 Paraprofessional occupations in legal, social, community and education services",1720,27825,29884,
        4211 Paralegal and related occupations,105,57870,53353,
        4212 Social and community service workers,775,33070,33768,
        4214 Early childhood educators and assistants,580,18858,22824,
        4215 Instructors of persons with disabilities,65,27071,35875,
        4216 Other instructors,160,15622,21964,
        4217 Other religious occupations,35,0,0,
    43 Occupations in front-line public protection services,680,101387,95810,
      431 Occupations in front-line public protection services,680,101387,95810,
        4311 Police officers (except commissioned),415,100128,98723,
        4312 Firefighters,210,120564,103225,
        4313 Non-commissioned ranks of the Canadian Armed Forces,55,48014,46268,
"    44 Care providers and educational, legal and public protection support occupations",1835,22475,24093,
      441 Home care providers and educational support occupations,1730,20659,22061,
        4411 Home child care providers,420,10530,13845,
"        4412 Home support workers, housekeepers and related occupations",510,26531,26113,
        4413 Elementary and secondary school teacher assistants,800,26209,23817,
      442 Legal and public protection support occupations,110,60710,56675,
        4421 Sheriffs and bailiffs,10,0,0,
        4422 Correctional service officers,10,0,0,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",85,60681,58302,
"  5 Occupations in art, culture, recreation and sport",3085,17837,36253,
    51 Professional occupations in art and culture,835,20545,31358,
"      511 Librarians, archivists, conservators and curators",50,47141,47434,
        5111 Librarians,35,47334,54505,
        5112 Conservators and curators,10,0,0,
        5113 Archivists,10,0,0,
"      512 Writing, translating and related communications professionals",290,35966,36403,
        5121 Authors and writers,150,23920,31303,
        5122 Editors,65,40712,41049,
        5123 Journalists,50,56506,52020,
"        5125 Translators, terminologists and interpreters",25,0,0,
      513 Creative and performing artists,495,15448,26730,
"        5131 Producers, directors, choreographers and related occupations",115,48441,54540,
"        5132 Conductors, composers and arrangers",0,0,0,
        5133 Musicians and singers,170,14111,24729,
        5134 Dancers,50,13528,20121,
        5135 Actors and comedians,30,0,0,
"        5136 Painters, sculptors and other visual artists",125,7488,9934,
"    52 Technical occupations in art, culture, recreation and sport",2250,16887,38072,
"      521 Technical occupations in libraries, public archives, museums and art galleries",100,26909,28324,
        5211 Library and public archive technicians,60,43045,36933,
        5212 Technical occupations related to museums and art galleries,35,9991,14686,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",330,22953,27620,
        5221 Photographers,145,18430,21532,
        5222 Film and video camera operators,20,0,0,
        5223 Graphic arts technicians,20,0,0,
        5224 Broadcast technicians,0,0,0,
        5225 Audio and video recording technicians,80,30068,36293,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",25,0,0,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",35,15150,17041,
"      523 Announcers and other performers, n.e.c.",75,38429,70978,
        5231 Announcers and other broadcasters,30,0,0,
"        5232 Other performers, n.e.c.",45,0,0,
      524 Creative designers and craftspersons,700,24691,28416,
        5241 Graphic designers and illustrators,340,31077,31855,
        5242 Interior designers and interior decorators,200,29433,31955,
"        5243 Theatre, fashion, exhibit and other creative designers",30,0,0,
        5244 Artisans and craftspersons,130,11095,18081,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",1055,11512,46276,
        5251 Athletes,55,0,0,
        5252 Coaches,90,16885,40135,
        5253 Sports officials and referees,40,2078,3359,
"        5254 Program leaders and instructors in recreation, sport and fitness",870,11466,18041,
  6 Sales and service occupations,27665,18045,26512,
    62 Retail sales supervisors and specialized sales occupations,2570,43867,58630,
      621 Retail sales supervisors,420,32716,37986,
        6211 Retail sales supervisors,420,32716,37986,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,670,52371,68265,
        6221 Technical sales specialists - wholesale trade,460,73990,86614,
        6222 Retail and wholesale buyers,210,20624,27114,
"      623 Insurance, real estate and financial sales occupations",1475,44074,60126,
        6231 Insurance agents and brokers,465,44091,59119,
        6232 Real estate agents and salespersons,615,41677,61193,
        6235 Financial sales representatives,395,45051,59660,
    63 Service supervisors and specialized service occupations,3875,22304,25632,
      631 Service supervisors,490,25331,31500,
        6311 Food service supervisors,280,22735,22628,
        6312 Executive housekeepers,40,33749,32356,
"        6313 Accommodation, travel, tourism and related services supervisors",25,0,38966,
        6314 Customer and information services supervisors,35,81131,70043,
        6315 Cleaning supervisors,35,17799,34282,
        6316 Other services supervisors,80,43028,43291,
      632 Chefs and cooks,2180,22571,24877,
        6321 Chefs,645,32942,34288,
        6322 Cooks,1535,17976,20902,
      633 Butchers and bakers,315,24772,28692,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",85,30613,34159,
        6332 Bakers,235,20521,26741,
      634 Specialized occupations in personal and customer services,885,19079,23138,
        6341 Hairstylists and barbers,695,19549,21933,
"        6342 Tailors, dressmakers, furriers and milliners",60,7821,12115,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",50,13324,20221,
        6345 Upholsterers,35,47673,44334,
        6346 Funeral directors and embalmers,35,51949,52434,
    64 Sales representatives and salespersons - wholesale and retail trade,5645,21118,32498,
      641 Sales and account representatives - wholesale trade (non-technical),735,53517,62874,
        6411 Sales and account representatives - wholesale trade (non-technical),735,53517,62874,
      642 Retail salespersons,4915,18444,27953,
        6421 Retail salespersons,4910,18444,27953,
    65 Service representatives and other customer and personal services occupations,5795,17083,22482,
      651 Occupations in food and beverage service,2520,10787,13512,
        6511 Maîtres d'hôtel and hosts/hostesses,280,5577,6659,
        6512 Bartenders,285,16001,16468,
        6513 Food and beverage servers,1960,11428,14059,
      652 Occupations in travel and accommodation,645,28733,31314,
        6521 Travel counsellors,150,16040,25715,
        6522 Pursers and flight attendants,145,44802,43959,
        6523 Airline ticket and service agents,80,31980,37793,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",10,0,0,
        6525 Hotel front desk clerks,260,26423,25802,
      653 Tourism and amusement services occupations,185,20704,24313,
        6531 Tour and travel guides,30,0,0,
        6532 Outdoor sport and recreational guides,30,0,0,
        6533 Casino occupations,120,24433,25964,
      654 Security guards and related security service occupations,530,30385,32367,
        6541 Security guards and related security service occupations,530,30385,32367,
      655 Customer and information services representatives,1245,32202,32674,
        6551 Customer services representatives - financial institutions,345,34099,34657,
        6552 Other customer and information services representatives,905,30643,31928,
      656 Other occupations in personal service,670,15036,20425,
"        6561 Image, social and other personal consultants",25,0,0,
"        6562 Estheticians, electrologists and related occupations",400,17375,18943,
        6563 Pet groomers and animal care workers,245,11908,15550,
        6564 Other personal service occupations,0,0,0,
    66 Sales support occupations,3170,11728,15408,
      661 Cashiers,1850,10777,13878,
        6611 Cashiers,1850,10777,13878,
      662 Other sales support and related occupations,1320,12997,17553,
        6621 Service station attendants,70,12361,13709,
"        6622 Store shelf stockers, clerks and order fillers",1055,14625,18782,
        6623 Other sales related occupations,195,3809,12285,
"    67 Service support and other service occupations, n.e.c.",6605,13547,18293,
"      671 Food counter attendants, kitchen helpers and related support occupations",2790,9210,12825,
"        6711 Food counter attendants, kitchen helpers and related support occupations",2790,9210,12825,
"      672 Support occupations in accommodation, travel and amusement services",265,8556,18634,
"        6721 Support occupations in accommodation, travel and facilities set-up services",45,23926,22811,
"        6722 Operators and attendants in amusement, recreation and sport",225,6623,17867,
      673 Cleaners,3275,17589,22688,
        6731 Light duty cleaners,1515,14614,18869,
        6732 Specialized cleaners,395,18757,23217,
"        6733 Janitors, caretakers and building superintendents",1365,20568,26772,
"      674 Other service support and related occupations, n.e.c.",280,18972,21092,
"        6741 Dry cleaning, laundry and related occupations",130,30884,28277,
"        6742 Other service support occupations, n.e.c.",150,16400,15000,
"  7 Trades, transport and equipment operators and related occupations",16610,44066,50579,
"    72 Industrial, electrical and construction trades",6800,44130,51584,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",770,55318,60463,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",75,69088,67229,
