"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Montréal [1],,,,
Global non-response rate (GNR) =   3.7 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"        6344 Jewellers, jewellery and watch repairers and related occupations",875,18046,21281,
        6345 Upholsterers,930,31040,36904,
        6346 Funeral directors and embalmers,305,42915,47841,
    64 Sales representatives and salespersons - wholesale and retail trade,97020,17372,27948,
      641 Sales and account representatives - wholesale trade (non-technical),15895,46829,55661,
        6411 Sales and account representatives - wholesale trade (non-technical),15900,46829,55661,
      642 Retail salespersons,81120,14768,22517,
        6421 Retail salespersons,81120,14768,22517,
    65 Service representatives and other customer and personal services occupations,120645,22349,26505,
      651 Occupations in food and beverage service,36235,16220,18592,
        6511 Maîtres d'hôtel and hosts/hostesses,2820,9523,13551,
        6512 Bartenders,4840,17216,19156,
        6513 Food and beverage servers,28575,16731,18994,
      652 Occupations in travel and accommodation,11110,32339,34461,
        6521 Travel counsellors,3935,29434,30303,
        6522 Pursers and flight attendants,2830,43869,43256,
        6523 Airline ticket and service agents,1835,34358,36056,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",630,41440,43303,
        6525 Hotel front desk clerks,1885,23839,25434,
      653 Tourism and amusement services occupations,1980,21695,31023,
        6531 Tour and travel guides,750,11516,17768,
        6532 Outdoor sport and recreational guides,165,8794,17724,
        6533 Casino occupations,1060,47232,42496,
      654 Security guards and related security service occupations,16905,29505,30445,
        6541 Security guards and related security service occupations,16905,29505,30445,
      655 Customer and information services representatives,43515,28893,31601,
        6551 Customer services representatives - financial institutions,11035,30357,32056,
        6552 Other customer and information services representatives,32480,28318,31446,
      656 Other occupations in personal service,10905,14193,17437,
"        6561 Image, social and other personal consultants",360,16418,23283,
"        6562 Estheticians, electrologists and related occupations",8555,14218,17317,
        6563 Pet groomers and animal care workers,1780,14126,17229,
        6564 Other personal service occupations,205,11231,14011,
    66 Sales support occupations,83520,11592,16203,
      661 Cashiers,45340,10017,12031,
        6611 Cashiers,45340,10017,12031,
      662 Other sales support and related occupations,38180,14647,21158,
        6621 Service station attendants,975,15503,20163,
"        6622 Store shelf stockers, clerks and order fillers",26735,13860,17286,
        6623 Other sales related occupations,10470,18025,31139,
"    67 Service support and other service occupations, n.e.c.",112155,15694,19876,
"      671 Food counter attendants, kitchen helpers and related support occupations",41200,10625,13616,
