"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Quebec / QuÈbec [1],,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",8350,28808,27729,
        6332 Bakers,9095,18430,20681,
      634 Specialized occupations in personal and customer services,36765,15468,18653,
        6341 Hairstylists and barbers,26595,14506,16781,
"        6342 Tailors, dressmakers, furriers and milliners",5445,16474,18648,
        6343 Shoe repairers and shoemakers,665,19356,22408,
"        6344 Jewellers, jewellery and watch repairers and related occupations",1380,18027,20807,
        6345 Upholsterers,1770,28143,30876,
        6346 Funeral directors and embalmers,915,41342,43429,
    64 Sales representatives and salespersons - wholesale and retail trade,179465,17619,26607,
      641 Sales and account representatives - wholesale trade (non-technical),26705,46727,53799,
        6411 Sales and account representatives - wholesale trade (non-technical),26705,46727,53799,
      642 Retail salespersons,152765,15282,21854,
        6421 Retail salespersons,152765,15282,21854,
    65 Service representatives and other customer and personal services occupations,219185,21073,25121,
      651 Occupations in food and beverage service,73865,16167,18239,
        6511 MaÓtres d'hÙtel and hosts/hostesses,5430,8754,12738,
        6512 Bartenders,9505,16607,18144,
        6513 Food and beverage servers,58930,16866,18762,
      652 Occupations in travel and accommodation,17185,28765,31269,
        6521 Travel counsellors,5730,28432,29106,
        6522 Pursers and flight attendants,3460,43262,42791,
        6523 Airline ticket and service agents,2245,33520,35317,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",865,34517,38930,
        6525 Hotel front desk clerks,4880,20101,22422,
      653 Tourism and amusement services occupations,4755,16872,25375,
        6531 Tour and travel guides,2130,9882,14668,
        6532 Outdoor sport and recreational guides,940,14951,16978,
        6533 Casino occupations,1685,47447,43573,
      654 Security guards and related security service occupations,30530,28079,29881,
        6541 Security guards and related security service occupations,30530,28079,29881,
      655 Customer and information services representatives,71400,28673,30961,
        6551 Customer services representatives - financial institutions,19010,30467,31428,
        6552 Other customer and information services representatives,52390,27782,30792,
      656 Other occupations in personal service,21445,14384,17620,
"        6561 Image, social and other personal consultants",690,16153,23096,
"        6562 Estheticians, electrologists and related occupations",16135,14741,17638,
        6563 Pet groomers and animal care workers,4145,13556,17105,
        6564 Other personal service occupations,475,10738,13543,
    66 Sales support occupations,170930,11606,15717,
      661 Cashiers,95695,10137,12170,
        6611 Cashiers,95690,10137,12170,
      662 Other sales support and related occupations,75240,14590,20228,
        6621 Service station attendants,3570,11877,15358,
"        6622 Store shelf stockers, clerks and order fillers",52910,13913,16951,
        6623 Other sales related occupations,18755,18976,30400,
