"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Northwest Territories / Territoires du Nord-Ouest [1],,,,
Global non-response rate (GNR) =   8.8 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
      524 Creative designers and craftspersons,95,26825,30653,
        5241 Graphic designers and illustrators,60,35620,35999,
        5242 Interior designers and interior decorators,0,0,0,
"        5243 Theatre, fashion, exhibit and other creative designers",10,0,0,
        5244 Artisans and craftspersons,25,0,0,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",160,15118,19512,
        5251 Athletes,0,0,0,
        5252 Coaches,15,0,0,
        5253 Sports officials and referees,0,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",145,13776,19289,
  6 Sales and service occupations,4600,23640,36428,
    62 Retail sales supervisors and specialized sales occupations,225,49107,100349,
      621 Retail sales supervisors,115,39983,41957,
        6211 Retail sales supervisors,115,39983,41957,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,40,104220,267933,
        6221 Technical sales specialists - wholesale trade,35,104360,279998,
        6222 Retail and wholesale buyers,0,0,0,
"      623 Insurance, real estate and financial sales occupations",65,59918,98056,
        6231 Insurance agents and brokers,30,46815,50609,
        6232 Real estate agents and salespersons,10,0,0,
        6235 Financial sales representatives,30,74303,129130,
    63 Service supervisors and specialized service occupations,575,33918,39702,
      631 Service supervisors,60,50176,59230,
        6311 Food service supervisors,10,0,0,
        6312 Executive housekeepers,10,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",10,0,0,
        6314 Customer and information services supervisors,0,0,0,
        6315 Cleaning supervisors,10,0,0,
        6316 Other services supervisors,40,51388,64273,
      632 Chefs and cooks,335,28970,35948,
        6321 Chefs,65,51441,44275,
        6322 Cooks,270,26677,33932,
      633 Butchers and bakers,55,35914,37363,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",20,33066,34984,
        6332 Bakers,30,35953,39093,
      634 Specialized occupations in personal and customer services,115,41868,40992,
        6341 Hairstylists and barbers,45,23393,31413,
"        6342 Tailors, dressmakers, furriers and milliners",30,10238,22798,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",30,0,0,
        6345 Upholsterers,10,0,0,
        6346 Funeral directors and embalmers,0,0,0,
    64 Sales representatives and salespersons - wholesale and retail trade,565,23543,34675,
      641 Sales and account representatives - wholesale trade (non-technical),20,0,0,
        6411 Sales and account representatives - wholesale trade (non-technical),15,0,0,
      642 Retail salespersons,550,22298,32519,
        6421 Retail salespersons,545,22298,32519,
    65 Service representatives and other customer and personal services occupations,930,30560,42206,
      651 Occupations in food and beverage service,205,15968,17795,
        6511 Maîtres d'hôtel and hosts/hostesses,20,0,0,
        6512 Bartenders,40,16869,18685,
        6513 Food and beverage servers,140,15961,18280,
      652 Occupations in travel and accommodation,235,41696,43764,
        6521 Travel counsellors,30,72988,69942,
        6522 Pursers and flight attendants,65,38597,44361,
        6523 Airline ticket and service agents,100,50028,45607,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0,
        6525 Hotel front desk clerks,45,18552,20816,
      653 Tourism and amusement services occupations,45,12771,20724,
        6531 Tour and travel guides,15,24495,29204,
        6532 Outdoor sport and recreational guides,30,9847,12354,
        6533 Casino occupations,0,0,0,
      654 Security guards and related security service occupations,205,44599,53017,
        6541 Security guards and related security service occupations,210,44599,53017,
      655 Customer and information services representatives,185,62765,62077,
        6551 Customer services representatives - financial institutions,50,41804,43093,
        6552 Other customer and information services representatives,130,69371,69188,
      656 Other occupations in personal service,60,17887,37142,
"        6561 Image, social and other personal consultants",0,0,0,
"        6562 Estheticians, electrologists and related occupations",20,0,0,
        6563 Pet groomers and animal care workers,30,17878,20281,
        6564 Other personal service occupations,0,0,0,
    66 Sales support occupations,920,9770,16444,
      661 Cashiers,540,8206,15223,
        6611 Cashiers,540,8206,15223,
      662 Other sales support and related occupations,380,11972,18180,
        6621 Service station attendants,70,13962,22605,
