"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Nova Scotia / Nouvelle-…cosse,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2232 Mechanical engineering technologists and technicians,580,72640,70156,
        2233 Industrial engineering and manufacturing technologists and technicians,285,51883,52859,
        2234 Construction estimators,560,57013,62706,
      224 Technical occupations in electronics and electrical engineering,3605,58086,58376,
        2241 Electrical and electronics engineering technologists and technicians,1605,62591,61362,
        2242 Electronic service technicians (household and business equipment),1360,47655,46611,
        2243 Industrial instrument technicians and mechanics,220,89856,95670,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",425,67910,65576,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",1260,51572,48300,
        2251 Architectural technologists and technicians,80,30001,32347,
        2252 Industrial designers,75,57115,45834,
        2253 Drafting technologists and technicians,580,49952,47751,
        2254 Land survey technologists and technicians,225,47578,45549,
        2255 Technical occupations in geomatics and meteorology,305,56102,55978,
      226 Other technical inspectors and regulatory officers,1605,61893,66765,
        2261 Non-destructive testers and inspection technicians,150,72850,80229,
        2262 Engineering inspectors and regulatory officers,170,74029,73567,
        2263 Inspectors in public and environmental health and occupational health and safety,865,62528,65009,
        2264 Construction inspectors,410,57479,62743,
      227 Transportation officers and controllers,1645,85384,97621,
"        2271 Air pilots, flight engineers and flying instructors",480,113705,116735,
        2272 Air traffic controllers and related occupations,155,74934,79924,
"        2273 Deck officers, water transport",630,80949,92409,
"        2274 Engineer officers, water transport",330,80785,90324,
        2275 Railway traffic controllers and marine traffic regulators,55,70363,84609,
      228 Technical occupations in computer and information systems,2805,49166,50104,
        2281 Computer network technicians,1550,54258,54379,
        2282 User support technicians,1070,40025,42852,
        2283 Information systems testing technicians,180,58774,56522,
  3 Health occupations,38265,44125,52060,
    30 Professional occupations in nursing,10710,64995,60030,
      301 Professional occupations in nursing,10705,64995,60030,
        3011 Nursing co-ordinators and supervisors,755,68862,61168,
        3012 Registered nurses and registered psychiatric nurses,9955,64856,59944,
    31 Professional occupations in health (except nursing),7175,73299,83156,
"      311 Physicians, dentists and veterinarians",3155,83165,107921,
        3111 Specialist physicians,1080,101840,123096,
        3112 General practitioners and family physicians,1305,80973,108743,
        3113 Dentists,450,92665,102441,
        3114 Veterinarians,325,68352,61390,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",590,71431,66163,
        3121 Optometrists,125,64009,69102,
        3122 Chiropractors,100,32572,40531,
        3124 Allied primary health practitioners,250,95885,84294,
        3125 Other professional occupations in health diagnosing and treating,115,44444,45333,
"      313 Pharmacists, dietitians and nutritionists",1850,74553,69780,
        3131 Pharmacists,1375,85331,75806,
        3132 Dietitians and nutritionists,480,56119,52502,
      314 Therapy and assessment professionals,1570,61758,55537,
        3141 Audiologists and speech-language pathologists,315,74291,66933,
        3142 Physiotherapists,615,63680,58106,
        3143 Occupational therapists,345,64403,55827,
        3144 Other professional occupations in therapy and assessment,300,32578,38022,
    32 Technical occupations in health,10925,44052,43450,
      321 Medical technologists and technicians (except dental health),4310,37006,40784,
        3211 Medical laboratory technologists,660,64265,54588,
        3212 Medical laboratory technicians and pathologists' assistants,710,41464,39501,
        3213 Animal health technologists and veterinary technicians,490,27713,26997,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",285,58457,54336,
        3215 Medical radiation technologists,575,66987,59623,
        3216 Medical sonographers,115,63794,61316,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",105,50590,40923,
        3219 Other medical technologists and technicians (except dental health),1380,26524,27465,
      322 Technical occupations in dental health care,840,52920,50090,
        3221 Denturists,35,25896,30954,
        3222 Dental hygienists and dental therapists,675,53828,50625,
"        3223 Dental technologists, technicians and laboratory assistants",125,50531,52746,
      323 Other technical occupations in health care,5775,45941,44478,
        3231 Opticians,260,38489,38608,
        3232 Practitioners of natural healing,145,15185,22275,
        3233 Licensed practical nurses,2865,49028,44684,
        3234 Paramedical occupations,1220,67120,64170,
        3236 Massage therapists,915,24392,26557,
        3237 Other technical occupations in therapy and assessment,370,35544,35202,
    34 Assisting occupations in support of health services,9465,32145,29431,
      341 Assisting occupations in support of health services,9470,32145,29431,
        3411 Dental assistants,820,32835,32027,
"        3413 Nurse aides, orderlies and patient service associates",7730,32366,29290,
        3414 Other assisting occupations in support of health services,915,29167,28297,
"  4 Occupations in education, law and social, community and government services",60145,44758,50165,
    40 Professional occupations in education services,19695,60311,56623,
      401 University professors and post-secondary assistants,5265,39650,58770,
        4011 University professors and lecturers,3030,96512,90594,
        4012 Post-secondary teaching and research assistants,2230,7907,15515,
      402 College and other vocational instructors,2210,55881,54789,
        4021 College and other vocational instructors,2215,55881,54789,
      403 Secondary and elementary school teachers and educational counsellors,12215,65251,56030,
        4031 Secondary school teachers,4030,70616,59490,
        4032 Elementary school and kindergarten teachers,7480,61181,54144,
        4033 Educational counsellors,705,59131,56253,
"    41 Professional occupations in law and social, community and government services",11945,54725,61089,
"      411 Judges, lawyers and Quebec notaries",1920,92338,104517,
        4111 Judges,125,305550,252008,
        4112 Lawyers and Quebec notaries,1800,83473,94577,
      415 Social and community service professionals,4460,49668,51696,
        4151 Psychologists,570,63965,63266,
        4152 Social workers,1620,64762,60020,
"        4153 Family, marriage and other related counsellors",670,40239,42640,
        4154 Professional occupations in religion,970,37989,39299,
        4155 Probation and parole officers and related occupations,180,75742,76624,
        4156 Employment counsellors,445,39109,37172,
"      416 Policy and program researchers, consultants and officers",5570,51868,53630,
