"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Guelph,,,,
Global non-response rate (GNR) =   3.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        4011 University professors and lecturers,995,114199,104860,
        4012 Post-secondary teaching and research assistants,1220,12139,22185,
      402 College and other vocational instructors,245,60195,59596,
        4021 College and other vocational instructors,245,60195,59596,
      403 Secondary and elementary school teachers and educational counsellors,2970,69490,63900,
        4031 Secondary school teachers,940,84060,71624,
        4032 Elementary school and kindergarten teachers,1915,64254,60486,
        4033 Educational counsellors,120,59857,58159,
"    41 Professional occupations in law and social, community and government services",2315,66884,69352,
"      411 Judges, lawyers and Quebec notaries",260,112555,128414,
        4111 Judges,10,0,0,
        4112 Lawyers and Quebec notaries,250,112313,123574,
      415 Social and community service professionals,830,54352,52267,
        4151 Psychologists,115,37879,47453,
        4152 Social workers,335,67315,59929,
"        4153 Family, marriage and other related counsellors",85,52330,49033,
        4154 Professional occupations in religion,200,42427,42128,
        4155 Probation and parole officers and related occupations,35,83010,70509,
        4156 Employment counsellors,60,47928,46911,
"      416 Policy and program researchers, consultants and officers",1225,68414,68432,
"        4161 Natural and applied science policy researchers, consultants and program officers",235,74687,73986,
        4162 Economists and economic policy researchers and analysts,105,84159,79198,
        4163 Business development officers and marketing researchers and consultants,370,67447,66870,
"        4164 Social policy researchers, consultants and program officers",125,66669,64138,
"        4165 Health policy researchers, consultants and program officers",150,66485,70758,
"        4166 Education policy researchers, consultants and program officers",95,76885,79726,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",30,0,62899,
        4168 Program officers unique to government,95,48515,52364,
"        4169 Other professional occupations in social science, n.e.c.",15,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",1675,29882,33289,
"      421 Paraprofessional occupations in legal, social, community and education services",1675,29882,33289,
        4211 Paralegal and related occupations,130,47818,45910,
        4212 Social and community service workers,645,42203,42781,
        4214 Early childhood educators and assistants,670,26237,25508,
        4215 Instructors of persons with disabilities,30,0,40738,
        4216 Other instructors,170,10778,17325,
        4217 Other religious occupations,30,0,31315,
    43 Occupations in front-line public protection services,835,101410,95208,
      431 Occupations in front-line public protection services,835,101410,95208,
        4311 Police officers (except commissioned),535,104178,100008,
        4312 Firefighters,230,105677,101289,
        4313 Non-commissioned ranks of the Canadian Armed Forces,75,35234,39370,
"    44 Care providers and educational, legal and public protection support occupations",1590,20615,26530,
      441 Home care providers and educational support occupations,1400,17829,21739,
        4411 Home child care providers,420,9964,12923,
"        4412 Home support workers, housekeepers and related occupations",390,22931,24343,
        4413 Elementary and secondary school teacher assistants,590,25257,26246,
      442 Legal and public protection support occupations,190,68796,62074,
        4421 Sheriffs and bailiffs,10,0,0,
        4422 Correctional service officers,100,69026,66755,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",85,69038,60905,
"  5 Occupations in art, culture, recreation and sport",2460,14889,27984,
    51 Professional occupations in art and culture,810,17545,30147,
"      511 Librarians, archivists, conservators and curators",85,58842,60980,
        5111 Librarians,70,58985,64741,
        5112 Conservators and curators,10,0,0,
        5113 Archivists,0,0,0,
"      512 Writing, translating and related communications professionals",355,23659,37674,
        5121 Authors and writers,210,23333,37413,
        5122 Editors,75,60432,47569,
        5123 Journalists,20,0,0,
"        5125 Translators, terminologists and interpreters",50,19994,21551,
      513 Creative and performing artists,370,9538,16137,
"        5131 Producers, directors, choreographers and related occupations",60,28560,32725,
"        5132 Conductors, composers and arrangers",0,0,0,
        5133 Musicians and singers,140,8510,12598,
        5134 Dancers,65,7822,9483,
        5135 Actors and comedians,25,0,0,
"        5136 Painters, sculptors and other visual artists",75,2240,10958,
"    52 Technical occupations in art, culture, recreation and sport",1650,14598,26922,
"      521 Technical occupations in libraries, public archives, museums and art galleries",95,33623,36588,
        5211 Library and public archive technicians,55,41421,40695,
        5212 Technical occupations related to museums and art galleries,45,0,0,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",240,21427,35721,
        5221 Photographers,95,13414,20922,
        5222 Film and video camera operators,25,0,0,
        5223 Graphic arts technicians,20,0,0,
        5224 Broadcast technicians,10,0,0,
        5225 Audio and video recording technicians,15,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",45,82355,70575,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",30,0,0,
"      523 Announcers and other performers, n.e.c.",55,16386,27860,
        5231 Announcers and other broadcasters,25,0,0,
"        5232 Other performers, n.e.c.",25,0,0,
      524 Creative designers and craftspersons,490,30536,37610,
        5241 Graphic designers and illustrators,275,39103,43207,
        5242 Interior designers and interior decorators,120,26983,44705,
"        5243 Theatre, fashion, exhibit and other creative designers",20,0,0,
        5244 Artisans and craftspersons,85,3498,10214,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",770,8501,16129,
        5251 Athletes,20,0,0,
        5252 Coaches,55,44004,42821,
        5253 Sports officials and referees,35,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",665,7181,12371,
  6 Sales and service occupations,18725,17212,27043,
    62 Retail sales supervisors and specialized sales occupations,1930,45363,61740,
      621 Retail sales supervisors,255,33692,42568,
        6211 Retail sales supervisors,255,33692,42568,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,715,60098,75425,
        6221 Technical sales specialists - wholesale trade,505,70632,89990,
        6222 Retail and wholesale buyers,205,26284,39035,
"      623 Insurance, real estate and financial sales occupations",960,43919,56644,
        6231 Insurance agents and brokers,330,49477,55004,
        6232 Real estate agents and salespersons,430,42602,59343,
        6235 Financial sales representatives,200,39516,53533,
    63 Service supervisors and specialized service occupations,2235,20812,24569,
      631 Service supervisors,405,29186,36673,
        6311 Food service supervisors,215,24546,28855,
        6312 Executive housekeepers,15,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",0,0,0,
        6314 Customer and information services supervisors,55,42499,40634,
        6315 Cleaning supervisors,70,50469,52949,
