"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Saskatoon,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        4153 Family, marriage and other related counsellors",270,55586,50570,
        4154 Professional occupations in religion,435,41876,44127,
        4155 Probation and parole officers and related occupations,100,73896,69372,
        4156 Employment counsellors,120,47711,50985,
"      416 Policy and program researchers, consultants and officers",1955,57591,59344,
"        4161 Natural and applied science policy researchers, consultants and program officers",215,63616,71795,
        4162 Economists and economic policy researchers and analysts,60,50654,67797,
        4163 Business development officers and marketing researchers and consultants,525,53277,58644,
"        4164 Social policy researchers, consultants and program officers",290,54828,52364,
"        4165 Health policy researchers, consultants and program officers",290,79300,74338,
"        4166 Education policy researchers, consultants and program officers",300,64790,56055,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",90,41950,45027,
        4168 Program officers unique to government,125,40385,40295,
"        4169 Other professional occupations in social science, n.e.c.",40,37117,49232,
"    42 Paraprofessional occupations in legal, social, community and education services",2910,29969,32593,
"      421 Paraprofessional occupations in legal, social, community and education services",2910,29969,32593,
        4211 Paralegal and related occupations,130,43074,44434,
        4212 Social and community service workers,1340,35742,37020,
        4214 Early childhood educators and assistants,1045,24076,24023,
        4215 Instructors of persons with disabilities,105,31905,36082,
        4216 Other instructors,160,47654,40862,
        4217 Other religious occupations,130,26799,30840,
    43 Occupations in front-line public protection services,1190,102968,97738,
      431 Occupations in front-line public protection services,1190,102968,97738,
        4311 Police officers (except commissioned),710,104178,100501,
        4312 Firefighters,385,103650,103333,
        4313 Non-commissioned ranks of the Canadian Armed Forces,100,61698,55129,
"    44 Care providers and educational, legal and public protection support occupations",3985,24969,28886,
      441 Home care providers and educational support occupations,3325,21440,22352,
        4411 Home child care providers,1170,12608,15764,
"        4412 Home support workers, housekeepers and related occupations",715,22016,25333,
        4413 Elementary and secondary school teacher assistants,1435,28664,26239,
      442 Legal and public protection support occupations,665,67354,61743,
        4421 Sheriffs and bailiffs,60,56022,54296,
        4422 Correctional service officers,520,71900,65704,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",85,52557,42231,
"  5 Occupations in art, culture, recreation and sport",3760,19930,36499,
    51 Professional occupations in art and culture,1335,23450,32367,
"      511 Librarians, archivists, conservators and curators",160,54667,55087,
        5111 Librarians,130,56208,59596,
        5112 Conservators and curators,20,0,0,
        5113 Archivists,15,0,0,
"      512 Writing, translating and related communications professionals",400,37522,38573,
        5121 Authors and writers,175,29021,32699,
        5122 Editors,80,37945,39458,
        5123 Journalists,85,54040,57955,
"        5125 Translators, terminologists and interpreters",60,29453,28264,
      513 Creative and performing artists,770,14494,24436,
"        5131 Producers, directors, choreographers and related occupations",85,44497,50447,
"        5132 Conductors, composers and arrangers",10,0,0,
        5133 Musicians and singers,385,12479,20334,
        5134 Dancers,130,10400,18318,
        5135 Actors and comedians,30,0,0,
"        5136 Painters, sculptors and other visual artists",125,14423,28526,
"    52 Technical occupations in art, culture, recreation and sport",2425,18548,38766,
"      521 Technical occupations in libraries, public archives, museums and art galleries",210,31985,32475,
        5211 Library and public archive technicians,150,37814,37266,
        5212 Technical occupations related to museums and art galleries,60,20255,20633,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",340,18069,28664,
        5221 Photographers,150,7509,19762,
        5222 Film and video camera operators,20,0,0,
        5223 Graphic arts technicians,30,0,0,
        5224 Broadcast technicians,10,0,0,
        5225 Audio and video recording technicians,45,50284,49355,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",50,21033,32876,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",40,0,0,
"      523 Announcers and other performers, n.e.c.",125,44618,44943,
        5231 Announcers and other broadcasters,80,64419,65047,
"        5232 Other performers, n.e.c.",45,7916,10223,
      524 Creative designers and craftspersons,690,30938,37087,
        5241 Graphic designers and illustrators,305,38858,41557,
        5242 Interior designers and interior decorators,205,35597,37661,
"        5243 Theatre, fashion, exhibit and other creative designers",55,19172,29142,
        5244 Artisans and craftspersons,115,24849,28949,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",1065,9677,43591,
        5251 Athletes,40,0,0,
        5252 Coaches,100,38429,39261,
        5253 Sports officials and referees,20,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",900,8323,16483,
  6 Sales and service occupations,39090,20427,27925,
    62 Retail sales supervisors and specialized sales occupations,3330,44849,58804,
      621 Retail sales supervisors,705,28060,30483,
        6211 Retail sales supervisors,705,28060,30483,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,1135,65485,74817,
        6221 Technical sales specialists - wholesale trade,850,77093,87692,
        6222 Retail and wholesale buyers,290,29847,36593,
"      623 Insurance, real estate and financial sales occupations",1490,45265,59992,
        6231 Insurance agents and brokers,425,51786,81579,
        6232 Real estate agents and salespersons,530,40095,48509,
        6235 Financial sales representatives,535,47601,54202,
    63 Service supervisors and specialized service occupations,5325,24757,26145,
      631 Service supervisors,895,28803,31711,
        6311 Food service supervisors,555,26968,28587,
        6312 Executive housekeepers,45,28883,33962,
"        6313 Accommodation, travel, tourism and related services supervisors",45,30448,39732,
        6314 Customer and information services supervisors,20,0,53030,
        6315 Cleaning supervisors,110,34751,36615,
        6316 Other services supervisors,120,37016,34148,
      632 Chefs and cooks,2755,22823,23935,
        6321 Chefs,405,36694,37740,
        6322 Cooks,2350,21468,21564,
      633 Butchers and bakers,565,29397,29304,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",140,34263,31566,
        6332 Bakers,425,28620,28549,
      634 Specialized occupations in personal and customer services,1115,22768,25534,
        6341 Hairstylists and barbers,880,21358,24899,
"        6342 Tailors, dressmakers, furriers and milliners",110,18449,19416,
        6343 Shoe repairers and shoemakers,20,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",30,0,0,
        6345 Upholsterers,35,37470,42826,
        6346 Funeral directors and embalmers,45,43311,37781,
    64 Sales representatives and salespersons - wholesale and retail trade,7820,21148,32405,
      641 Sales and account representatives - wholesale trade (non-technical),1080,58932,64033,
        6411 Sales and account representatives - wholesale trade (non-technical),1080,58932,64033,
      642 Retail salespersons,6735,18209,27340,
        6421 Retail salespersons,6735,18209,27340,
    65 Service representatives and other customer and personal services occupations,7880,18760,24376,
      651 Occupations in food and beverage service,3425,11461,13667,
        6511 Maîtres d'hôtel and hosts/hostesses,395,6451,9504,
        6512 Bartenders,535,14845,16480,
        6513 Food and beverage servers,2495,11425,13723,
      652 Occupations in travel and accommodation,625,28433,31541,
        6521 Travel counsellors,135,33276,37445,
        6522 Pursers and flight attendants,45,37437,37695,
        6523 Airline ticket and service agents,100,34933,39878,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",30,39437,40144,
        6525 Hotel front desk clerks,310,24449,24385,
      653 Tourism and amusement services occupations,135,33675,42765,
        6531 Tour and travel guides,10,0,0,
        6532 Outdoor sport and recreational guides,20,0,0,
        6533 Casino occupations,105,35237,45655,
      654 Security guards and related security service occupations,945,29651,34241,
        6541 Security guards and related security service occupations,945,29651,34241,
      655 Customer and information services representatives,1985,35161,35803,
