"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Yukon [1],,,,
Global non-response rate (GNR) =   6.8 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
    62 Retail sales supervisors and specialized sales occupations,150,46551,44917,
      621 Retail sales supervisors,35,26401,32132,
        6211 Retail sales supervisors,35,26401,32132,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,40,55816,48019,
        6221 Technical sales specialists - wholesale trade,20,0,67473,
        6222 Retail and wholesale buyers,20,0,0,
"      623 Insurance, real estate and financial sales occupations",70,48245,49498,
        6231 Insurance agents and brokers,20,0,0,
        6232 Real estate agents and salespersons,10,0,0,
        6235 Financial sales representatives,45,53816,55133,
    63 Service supervisors and specialized service occupations,585,29185,32116,
      631 Service supervisors,65,39388,45798,
        6311 Food service supervisors,25,32853,27749,
        6312 Executive housekeepers,0,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",15,0,0,
        6314 Customer and information services supervisors,10,0,0,
        6315 Cleaning supervisors,10,0,0,
        6316 Other services supervisors,10,0,0,
      632 Chefs and cooks,355,28252,31659,
        6321 Chefs,65,27465,32546,
        6322 Cooks,290,28976,31469,
      633 Butchers and bakers,60,27142,33990,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",25,0,0,
        6332 Bakers,35,24469,33621,
      634 Specialized occupations in personal and customer services,105,17087,23944,
        6341 Hairstylists and barbers,80,33416,29520,
"        6342 Tailors, dressmakers, furriers and milliners",15,0,0,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",10,0,0,
        6345 Upholsterers,0,0,0,
        6346 Funeral directors and embalmers,0,0,0,
    64 Sales representatives and salespersons - wholesale and retail trade,625,25285,31106,
      641 Sales and account representatives - wholesale trade (non-technical),60,46813,61371,
        6411 Sales and account representatives - wholesale trade (non-technical),60,46813,61371,
      642 Retail salespersons,570,23801,28025,
        6421 Retail salespersons,565,23801,28025,
    65 Service representatives and other customer and personal services occupations,990,22066,27389,
      651 Occupations in food and beverage service,330,13475,16685,
        6511 MaÓtres d'hÙtel and hosts/hostesses,10,0,0,
        6512 Bartenders,80,12822,18318,
        6513 Food and beverage servers,240,13611,16198,
      652 Occupations in travel and accommodation,170,30220,35191,
        6521 Travel counsellors,30,31483,39886,
        6522 Pursers and flight attendants,20,0,0,
        6523 Airline ticket and service agents,45,16440,26398,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0,
        6525 Hotel front desk clerks,75,27893,32471,
      653 Tourism and amusement services occupations,115,17144,20103,
        6531 Tour and travel guides,30,25770,27414,
        6532 Outdoor sport and recreational guides,70,12453,16176,
        6533 Casino occupations,15,0,0,
      654 Security guards and related security service occupations,100,48309,48868,
        6541 Security guards and related security service occupations,100,48309,48868,
      655 Customer and information services representatives,205,32287,32961,
        6551 Customer services representatives - financial institutions,70,37452,37574,
        6552 Other customer and information services representatives,140,29286,30734,
      656 Other occupations in personal service,65,19424,23847,
"        6561 Image, social and other personal consultants",10,0,0,
"        6562 Estheticians, electrologists and related occupations",30,0,0,
        6563 Pet groomers and animal care workers,25,27543,26014,
        6564 Other personal service occupations,10,0,0,
    66 Sales support occupations,530,12863,18958,
      661 Cashiers,335,12310,16776,
        6611 Cashiers,335,12310,16776,
      662 Other sales support and related occupations,195,15123,22731,
        6621 Service station attendants,50,13660,26937,
"        6622 Store shelf stockers, clerks and order fillers",130,10619,18902,
        6623 Other sales related occupations,15,0,0,
"    67 Service support and other service occupations, n.e.c.",1215,23461,29284,
"      671 Food counter attendants, kitchen helpers and related support occupations",420,15572,21366,
"        6711 Food counter attendants, kitchen helpers and related support occupations",420,15572,21366,
"      672 Support occupations in accommodation, travel and amusement services",50,22936,25536,
"        6721 Support occupations in accommodation, travel and facilities set-up services",0,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",45,22971,26847,
      673 Cleaners,725,30791,34266,
        6731 Light duty cleaners,245,19542,22895,
        6732 Specialized cleaners,40,26610,28464,
"        6733 Janitors, caretakers and building superintendents",445,43102,41017,
"      674 Other service support and related occupations, n.e.c.",20,0,0,
"        6741 Dry cleaning, laundry and related occupations",10,0,0,
"        6742 Other service support occupations, n.e.c.",10,0,0,
"  7 Trades, transport and equipment operators and related occupations",3740,45590,49818,
"    72 Industrial, electrical and construction trades",1395,46871,53627,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",180,66600,72219,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",25,0,105662,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",45,84545,89727,
"        7203 Contractors and supervisors, pipefitting trades",10,0,0,
"        7204 Contractors and supervisors, carpentry trades",65,74255,72486,
"        7205 Contractors and supervisors, other construction trades, installers, repairers and servicers",40,41737,34199,
"      723 Machining, metal forming, shaping and erecting trades",105,55750,49214,
        7231 Machinists and machining and tooling inspectors,15,0,0,
        7232 Tool and die makers,0,0,0,
        7233 Sheet metal workers,15,0,0,
        7234 Boilermakers,0,0,0,
