"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Oshawa,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        6344 Jewellers, jewellery and watch repairers and related occupations",40,0,0,
        6345 Upholsterers,20,0,0,
        6346 Funeral directors and embalmers,115,50367,52965,
    64 Sales representatives and salespersons - wholesale and retail trade,9490,17167,30302,
      641 Sales and account representatives - wholesale trade (non-technical),1400,57151,62162,
        6411 Sales and account representatives - wholesale trade (non-technical),1400,57151,62162,
      642 Retail salespersons,8090,15052,24789,
        6421 Retail salespersons,8090,15052,24789,
    65 Service representatives and other customer and personal services occupations,10255,20851,28067,
      651 Occupations in food and beverage service,2885,10416,12314,
        6511 Maîtres d'hôtel and hosts/hostesses,380,4744,6254,
        6512 Bartenders,395,14656,15636,
        6513 Food and beverage servers,2115,11016,12778,
      652 Occupations in travel and accommodation,465,32824,32222,
        6521 Travel counsellors,235,30607,27007,
        6522 Pursers and flight attendants,90,43958,43667,
        6523 Airline ticket and service agents,20,0,0,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",50,50257,48639,
        6525 Hotel front desk clerks,75,25208,26728,
      653 Tourism and amusement services occupations,285,31297,32758,
        6531 Tour and travel guides,20,0,0,
        6532 Outdoor sport and recreational guides,30,0,0,
        6533 Casino occupations,240,38692,37619,
      654 Security guards and related security service occupations,1525,28191,38189,
        6541 Security guards and related security service occupations,1525,28191,38189,
      655 Customer and information services representatives,4270,33463,36010,
        6551 Customer services representatives - financial institutions,850,33726,35638,
        6552 Other customer and information services representatives,3420,33328,36103,
      656 Other occupations in personal service,820,14875,19283,
"        6561 Image, social and other personal consultants",10,0,0,
"        6562 Estheticians, electrologists and related occupations",510,15511,18626,
        6563 Pet groomers and animal care workers,285,13910,21186,
        6564 Other personal service occupations,15,0,0,
    66 Sales support occupations,6515,10400,14676,
      661 Cashiers,3785,8965,11349,
        6611 Cashiers,3780,8965,11349,
      662 Other sales support and related occupations,2735,13820,19284,
        6621 Service station attendants,95,18098,17800,
"        6622 Store shelf stockers, clerks and order fillers",2240,15185,20004,
        6623 Other sales related occupations,395,7314,15567,
"    67 Service support and other service occupations, n.e.c.",11255,14803,22455,
"      671 Food counter attendants, kitchen helpers and related support occupations",4975,9630,13184,
"        6711 Food counter attendants, kitchen helpers and related support occupations",4980,9630,13184,
"      672 Support occupations in accommodation, travel and amusement services",530,9637,21235,
"        6721 Support occupations in accommodation, travel and facilities set-up services",25,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",505,9359,21075,
      673 Cleaners,5335,26060,31105,
        6731 Light duty cleaners,1930,15303,19284,
        6732 Specialized cleaners,445,22000,29755,
"        6733 Janitors, caretakers and building superintendents",2960,40997,39014,
"      674 Other service support and related occupations, n.e.c.",410,14246,23960,
"        6741 Dry cleaning, laundry and related occupations",70,26309,36736,
"        6742 Other service support occupations, n.e.c.",345,11850,21419,
"  7 Trades, transport and equipment operators and related occupations",30580,48633,51994,
