"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Lethbridge,,,,
Global non-response rate (GNR) =   6.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
      661 Cashiers,1060,11034,14691,
        6611 Cashiers,1060,11034,14691,
      662 Other sales support and related occupations,865,15346,19203,
        6621 Service station attendants,70,9874,15797,
"        6622 Store shelf stockers, clerks and order fillers",675,18150,20970,
        6623 Other sales related occupations,120,6789,11201,
"    67 Service support and other service occupations, n.e.c.",3775,13865,19056,
"      671 Food counter attendants, kitchen helpers and related support occupations",1675,11058,13245,
"        6711 Food counter attendants, kitchen helpers and related support occupations",1675,11058,13245,
"      672 Support occupations in accommodation, travel and amusement services",145,7667,16105,
"        6721 Support occupations in accommodation, travel and facilities set-up services",15,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",125,6873,15952,
      673 Cleaners,1825,18814,24316,
        6731 Light duty cleaners,805,13154,19486,
        6732 Specialized cleaners,165,16594,22639,
"        6733 Janitors, caretakers and building superintendents",850,24791,29216,
"      674 Other service support and related occupations, n.e.c.",130,20411,23284,
"        6741 Dry cleaning, laundry and related occupations",60,25369,25645,
"        6742 Other service support occupations, n.e.c.",70,15116,21267,
"  7 Trades, transport and equipment operators and related occupations",10885,49584,52570,
"    72 Industrial, electrical and construction trades",4190,49831,53806,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",450,57927,58873,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",60,64141,65928,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",60,86256,104366,
"        7203 Contractors and supervisors, pipefitting trades",30,0,0,
"        7204 Contractors and supervisors, carpentry trades",80,42002,44020,
