"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Newfoundland and Labrador / Terre-Neuve-et-Labrador,,,,
Global non-response rate (GNR) =   6.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        2224 Conservation and fishery officers,630,32807,40629,
        2225 Landscape and horticulture technicians and specialists,115,26415,33765,
"      223 Technical occupations in civil, mechanical and industrial engineering",1255,63716,72711,
        2231 Civil engineering technologists and technicians,495,61489,67833,
        2232 Mechanical engineering technologists and technicians,290,64051,74191,
        2233 Industrial engineering and manufacturing technologists and technicians,240,69380,76172,
        2234 Construction estimators,230,69382,77678,
      224 Technical occupations in electronics and electrical engineering,1775,66635,73924,
        2241 Electrical and electronics engineering technologists and technicians,900,68571,76952,
        2242 Electronic service technicians (household and business equipment),510,47522,52313,
        2243 Industrial instrument technicians and mechanics,250,98319,101895,
"        2244 Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",110,92134,86260,
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",680,51453,56467,
        2251 Architectural technologists and technicians,100,55470,60762,
        2252 Industrial designers,20,0,0,
        2253 Drafting technologists and technicians,290,46804,51605,
        2254 Land survey technologists and technicians,80,41809,59423,
        2255 Technical occupations in geomatics and meteorology,180,50757,55091,
      226 Other technical inspectors and regulatory officers,1775,72053,81665,
        2261 Non-destructive testers and inspection technicians,210,79857,98009,
        2262 Engineering inspectors and regulatory officers,100,68356,73801,
        2263 Inspectors in public and environmental health and occupational health and safety,1000,73393,84068,
        2264 Construction inspectors,470,66342,70966,
      227 Transportation officers and controllers,2185,101031,113914,
"        2271 Air pilots, flight engineers and flying instructors",370,87279,95207,
        2272 Air traffic controllers and related occupations,380,154280,145409,
"        2273 Deck officers, water transport",840,97999,111531,
"        2274 Engineer officers, water transport",555,100654,111245,
        2275 Railway traffic controllers and marine traffic regulators,45,58795,79478,
      228 Technical occupations in computer and information systems,1205,62468,61428,
