"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Alberta [1],,,,
Global non-response rate (GNR) =   6.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        3237 Other technical occupations in therapy and assessment,1525,37642,38999,
    34 Assisting occupations in support of health services,37510,38798,38850,
      341 Assisting occupations in support of health services,37510,38798,38850,
        3411 Dental assistants,5135,45815,43673,
"        3413 Nurse aides, orderlies and patient service associates",26650,38262,38406,
        3414 Other assisting occupations in support of health services,5725,34593,36592,
"  4 Occupations in education, law and social, community and government services",230725,49983,61627,
    40 Professional occupations in education services,73690,68308,65381,
      401 University professors and post-secondary assistants,15875,32755,57987,
        4011 University professors and lecturers,7365,94250,95370,
        4012 Post-secondary teaching and research assistants,8500,13435,25599,
      402 College and other vocational instructors,8610,71517,71544,
        4021 College and other vocational instructors,8610,71517,71544,
      403 Secondary and elementary school teachers and educational counsellors,49210,72891,66686,
        4031 Secondary school teachers,15090,81601,71028,
        4032 Elementary school and kindergarten teachers,31660,71263,65249,
        4033 Educational counsellors,2460,58229,58553,
"    41 Professional occupations in law and social, community and government services",53485,69906,93705,
"      411 Judges, lawyers and Quebec notaries",9340,123869,193802,
        4111 Judges,275,310756,255919,
        4112 Lawyers and Quebec notaries,9065,122069,191911,
      415 Social and community service professionals,18910,59963,61862,
        4151 Psychologists,2745,70266,72414,
        4152 Social workers,6780,64411,64593,
"        4153 Family, marriage and other related counsellors",3185,55601,60139,
        4154 Professional occupations in religion,4015,53512,52763,
        4155 Probation and parole officers and related occupations,695,78779,70269,
        4156 Employment counsellors,1490,52481,54286,
"      416 Policy and program researchers, consultants and officers",25235,70117,80537,
"        4161 Natural and applied science policy researchers, consultants and program officers",4075,85735,92547,
        4162 Economists and economic policy researchers and analysts,1650,95542,122868,
        4163 Business development officers and marketing researchers and consultants,7080,72340,92220,
"        4164 Social policy researchers, consultants and program officers",2945,65259,67957,
"        4165 Health policy researchers, consultants and program officers",3385,68215,69939,
"        4166 Education policy researchers, consultants and program officers",2555,62121,66025,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",1210,47965,51167,
        4168 Program officers unique to government,1720,44389,52608,
"        4169 Other professional occupations in social science, n.e.c.",605,60113,67194,
"    42 Paraprofessional occupations in legal, social, community and education services",38325,32861,36895,
"      421 Paraprofessional occupations in legal, social, community and education services",38325,32861,36895,
        4211 Paralegal and related occupations,2580,58223,58824,
        4212 Social and community service workers,16980,42218,43425,
        4214 Early childhood educators and assistants,13945,23968,26193,
        4215 Instructors of persons with disabilities,735,32320,36017,
        4216 Other instructors,3270,17766,31903,
        4217 Other religious occupations,815,29142,35362,
    43 Occupations in front-line public protection services,19185,88588,87783,
      431 Occupations in front-line public protection services,19185,88588,87783,
        4311 Police officers (except commissioned),9180,100850,96436,
        4312 Firefighters,4650,103239,95753,
        4313 Non-commissioned ranks of the Canadian Armed Forces,5355,69737,66032,
"    44 Care providers and educational, legal and public protection support occupations",46045,23310,28043,
      441 Home care providers and educational support occupations,41755,21594,23584,
        4411 Home child care providers,14710,15532,17819,
"        4412 Home support workers, housekeepers and related occupations",9010,26172,29271,
        4413 Elementary and secondary school teacher assistants,18040,24864,25446,
      442 Legal and public protection support occupations,4280,76430,71532,
        4421 Sheriffs and bailiffs,540,78837,75019,
        4422 Correctional service officers,2850,77370,72591,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",885,61717,65996,
"  5 Occupations in art, culture, recreation and sport",49840,20534,33457,
    51 Professional occupations in art and culture,14520,21949,33659,
"      511 Librarians, archivists, conservators and curators",1290,57418,61089,
        5111 Librarians,1010,57387,61280,
        5112 Conservators and curators,170,54875,61341,
        5113 Archivists,115,69008,58987,
"      512 Writing, translating and related communications professionals",4680,35727,41806,
        5121 Authors and writers,2095,31847,40305,
