"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Kingston,,,,
Global non-response rate (GNR) =   4.4 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        6316 Other services supervisors,115,32234,34220,
      632 Chefs and cooks,1585,18263,21645,
        6321 Chefs,260,28088,29639,
        6322 Cooks,1325,17514,20083,
      633 Butchers and bakers,320,25450,27085,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",70,32911,32460,
        6332 Bakers,245,23518,25532,
      634 Specialized occupations in personal and customer services,635,18020,22223,
        6341 Hairstylists and barbers,500,19113,22627,
"        6342 Tailors, dressmakers, furriers and milliners",50,13493,16649,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",30,0,0,
        6345 Upholsterers,25,0,0,
        6346 Funeral directors and embalmers,25,0,0,
    64 Sales representatives and salespersons - wholesale and retail trade,3565,16502,25310,
      641 Sales and account representatives - wholesale trade (non-technical),315,54060,59427,
        6411 Sales and account representatives - wholesale trade (non-technical),315,54060,59427,
      642 Retail salespersons,3250,14822,22015,
        6421 Retail salespersons,3250,14822,22015,
    65 Service representatives and other customer and personal services occupations,4445,17613,21668,
      651 Occupations in food and beverage service,1670,10410,12038,
        6511 Maîtres d'hôtel and hosts/hostesses,175,5290,6976,
        6512 Bartenders,230,14533,14477,
        6513 Food and beverage servers,1265,11294,12289,
      652 Occupations in travel and accommodation,270,21288,25872,
        6521 Travel counsellors,90,18246,22769,
        6522 Pursers and flight attendants,10,0,0,
        6523 Airline ticket and service agents,15,0,0,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",20,0,0,
        6525 Hotel front desk clerks,135,19917,20393,
      653 Tourism and amusement services occupations,70,40156,33810,
        6531 Tour and travel guides,10,0,0,
        6532 Outdoor sport and recreational guides,10,0,0,
        6533 Casino occupations,45,44015,42180,
      654 Security guards and related security service occupations,480,25835,29010,
        6541 Security guards and related security service occupations,485,25835,29010,
      655 Customer and information services representatives,1600,27722,28358,
        6551 Customer services representatives - financial institutions,265,29100,28812,
        6552 Other customer and information services representatives,1330,27520,28268,
      656 Other occupations in personal service,360,19452,21382,
"        6561 Image, social and other personal consultants",10,0,0,
"        6562 Estheticians, electrologists and related occupations",270,19427,21934,
        6563 Pet groomers and animal care workers,80,19301,18251,
        6564 Other personal service occupations,10,0,0,
    66 Sales support occupations,2750,10184,14195,
      661 Cashiers,1740,8765,12535,
        6611 Cashiers,1740,8765,12535,
      662 Other sales support and related occupations,1005,12243,17065,
        6621 Service station attendants,95,11282,17271,
"        6622 Store shelf stockers, clerks and order fillers",800,14750,18150,
        6623 Other sales related occupations,120,3119,9548,
"    67 Service support and other service occupations, n.e.c.",5600,14586,19987,
"      671 Food counter attendants, kitchen helpers and related support occupations",2455,9693,14078,
"        6711 Food counter attendants, kitchen helpers and related support occupations",2455,9693,14078,
"      672 Support occupations in accommodation, travel and amusement services",240,15835,19172,
"        6721 Support occupations in accommodation, travel and facilities set-up services",15,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",225,15814,19320,
      673 Cleaners,2750,21279,24932,
        6731 Light duty cleaners,1345,15864,19407,
        6732 Specialized cleaners,225,22861,24158,
"        6733 Janitors, caretakers and building superintendents",1180,29844,31401,
"      674 Other service support and related occupations, n.e.c.",160,25694,26972,
"        6741 Dry cleaning, laundry and related occupations",70,28690,33994,
"        6742 Other service support occupations, n.e.c.",85,9957,21268,
"  7 Trades, transport and equipment operators and related occupations",9570,38349,41764,
"    72 Industrial, electrical and construction trades",3625,42435,45485,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",390,44455,52590,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",30,0,66520,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",85,57264,81630,
