"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
      227 Transportation officers and controllers,660,100294,106977,
"        2271 Air pilots, flight engineers and flying instructors",425,109274,108878,
        2272 Air traffic controllers and related occupations,135,113760,122429,
"        2273 Deck officers, water transport",55,68511,74341,
"        2274 Engineer officers, water transport",40,100168,96386,
        2275 Railway traffic controllers and marine traffic regulators,0,0,0,
      228 Technical occupations in computer and information systems,8945,65030,65480,
        2281 Computer network technicians,4560,67785,67416,
        2282 User support technicians,3075,62305,63333,
        2283 Information systems testing technicians,1305,62635,63777,
  3 Health occupations,45345,49953,60141,
    30 Professional occupations in nursing,11325,66529,63303,
      301 Professional occupations in nursing,11325,66529,63303,
        3011 Nursing co-ordinators and supervisors,615,75665,69499,
        3012 Registered nurses and registered psychiatric nurses,10705,65886,62947,
    31 Professional occupations in health (except nursing),11130,76230,97358,
"      311 Physicians, dentists and veterinarians",5655,94591,125589,
        3111 Specialist physicians,2090,104291,143655,
        3112 General practitioners and family physicians,2465,84122,115021,
        3113 Dentists,710,107721,128379,
        3114 Veterinarians,390,87302,90656,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",1060,74207,74556,
        3121 Optometrists,175,86868,98702,
        3122 Chiropractors,285,49827,73877,
        3124 Allied primary health practitioners,430,85341,74742,
        3125 Other professional occupations in health diagnosing and treating,170,54767,50807,
"      313 Pharmacists, dietitians and nutritionists",1725,87172,82355,
        3131 Pharmacists,1255,99382,90380,
        3132 Dietitians and nutritionists,465,65104,60528,
      314 Therapy and assessment professionals,2700,57976,56757,
        3141 Audiologists and speech-language pathologists,510,61014,64491,
        3142 Physiotherapists,1220,61740,59336,
        3143 Occupational therapists,640,61115,58214,
        3144 Other professional occupations in therapy and assessment,325,23114,32106,
    32 Technical occupations in health,12665,43742,46195,
      321 Medical technologists and technicians (except dental health),5730,44035,46826,
        3211 Medical laboratory technologists,830,69600,63685,
        3212 Medical laboratory technicians and pathologists' assistants,955,40073,41271,
        3213 Animal health technologists and veterinary technicians,605,31277,32493,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",465,68652,65084,
        3215 Medical radiation technologists,765,65449,61731,
        3216 Medical sonographers,185,78824,75223,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",100,55172,49125,
        3219 Other medical technologists and technicians (except dental health),1820,30721,32783,
      322 Technical occupations in dental health care,1580,49435,50611,
        3221 Denturists,60,42203,53571,
        3222 Dental hygienists and dental therapists,1245,50435,49860,
"        3223 Dental technologists, technicians and laboratory assistants",275,47490,53359,
      323 Other technical occupations in health care,5355,40225,44214,
        3231 Opticians,325,54206,53555,
        3232 Practitioners of natural healing,170,14492,26229,
        3233 Licensed practical nurses,1995,46073,43365,
        3234 Paramedical occupations,1035,83418,77742,
        3236 Massage therapists,1290,21924,25404,
        3237 Other technical occupations in therapy and assessment,535,23532,27617,
    34 Assisting occupations in support of health services,10230,33408,33395,
      341 Assisting occupations in support of health services,10225,33408,33395,
        3411 Dental assistants,1205,35902,35067,
"        3413 Nurse aides, orderlies and patient service associates",7725,32801,32875,
        3414 Other assisting occupations in support of health services,1295,33737,34940,
"  4 Occupations in education, law and social, community and government services",115425,56426,61238,
    40 Professional occupations in education services,34175,55508,56210,
      401 University professors and post-secondary assistants,8670,19197,50296,
        4011 University professors and lecturers,3770,100495,91015,
        4012 Post-secondary teaching and research assistants,4895,10794,18919,
      402 College and other vocational instructors,4320,46279,50495,
        4021 College and other vocational instructors,4320,46279,50495,
      403 Secondary and elementary school teachers and educational counsellors,21185,64007,59796,
        4031 Secondary school teachers,7165,72169,65198,
        4032 Elementary school and kindergarten teachers,12955,60828,56993,
        4033 Educational counsellors,1065,57977,57550,
"    41 Professional occupations in law and social, community and government services",43340,74681,81474,
"      411 Judges, lawyers and Quebec notaries",5860,106665,138745,
        4111 Judges,175,307253,257743,
        4112 Lawyers and Quebec notaries,5680,105536,135098,
      415 Social and community service professionals,6245,54393,55633,
        4151 Psychologists,1340,64375,66542,
        4152 Social workers,2245,59163,57242,
"        4153 Family, marriage and other related counsellors",1130,45686,43232,
        4154 Professional occupations in religion,795,50104,50738,
        4155 Probation and parole officers and related occupations,200,74892,72143,
        4156 Employment counsellors,530,48449,48674,
"      416 Policy and program researchers, consultants and officers",31240,76434,75904,
"        4161 Natural and applied science policy researchers, consultants and program officers",4060,85802,82469,
        4162 Economists and economic policy researchers and analysts,4190,83344,89018,
        4163 Business development officers and marketing researchers and consultants,3335,60980,69204,
"        4164 Social policy researchers, consultants and program officers",7600,73444,72360,
"        4165 Health policy researchers, consultants and program officers",3625,75984,75309,
"        4166 Education policy researchers, consultants and program officers",1485,65558,62796,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",650,48736,53045,
        4168 Program officers unique to government,5615,80666,77857,
"        4169 Other professional occupations in social science, n.e.c.",670,70688,65825,
"    42 Paraprofessional occupations in legal, social, community and education services",17995,29823,32459,
"      421 Paraprofessional occupations in legal, social, community and education services",17995,29823,32459,
        4211 Paralegal and related occupations,1570,54720,55439,
        4212 Social and community service workers,4750,42196,41583,
        4214 Early childhood educators and assistants,9560,24010,25315,
        4215 Instructors of persons with disabilities,700,39217,38201,
        4216 Other instructors,1125,12919,20005,
        4217 Other religious occupations,290,19222,28783,
    43 Occupations in front-line public protection services,8895,88077,84881,
      431 Occupations in front-line public protection services,8890,88077,84881,
        4311 Police officers (except commissioned),4180,100417,96600,
        4312 Firefighters,1065,100873,94178,
        4313 Non-commissioned ranks of the Canadian Armed Forces,3650,70483,68761,
"    44 Care providers and educational, legal and public protection support occupations",11025,19420,25174,
      441 Home care providers and educational support occupations,10055,17556,21425,
        4411 Home child care providers,3990,13170,15548,
"        4412 Home support workers, housekeepers and related occupations",2505,21496,25337,
        4413 Elementary and secondary school teacher assistants,3565,25056,25261,
      442 Legal and public protection support occupations,965,68029,64241,
        4421 Sheriffs and bailiffs,50,51287,48323,
        4422 Correctional service officers,445,71153,70588,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",470,67088,59901,
"  5 Occupations in art, culture, recreation and sport",26075,21037,35021,
    51 Professional occupations in art and culture,10825,39341,45313,
"      511 Librarians, archivists, conservators and curators",1105,69792,67283,
        5111 Librarians,685,72163,71517,
        5112 Conservators and curators,215,67560,63972,
        5113 Archivists,205,63187,56661,
"      512 Writing, translating and related communications professionals",6200,52840,50789,
        5121 Authors and writers,1930,48697,48015,
        5122 Editors,1340,55263,50683,
        5123 Journalists,635,54239,60015,
"        5125 Translators, terminologists and interpreters",2300,54287,50640,
      513 Creative and performing artists,3515,12699,28723,
"        5131 Producers, directors, choreographers and related occupations",660,51077,77212,
"        5132 Conductors, composers and arrangers",135,18454,28153,
        5133 Musicians and singers,1470,10906,18431,
        5134 Dancers,395,10018,16926,
        5135 Actors and comedians,235,9308,18537,
"        5136 Painters, sculptors and other visual artists",625,4610,13203,
"    52 Technical occupations in art, culture, recreation and sport",15250,15066,27715,
"      521 Technical occupations in libraries, public archives, museums and art galleries",1105,38830,36729,
        5211 Library and public archive technicians,630,42858,42484,
        5212 Technical occupations related to museums and art galleries,475,19812,29162,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",2035,29480,37599,
        5221 Photographers,550,12577,21863,
        5222 Film and video camera operators,265,35909,43351,
        5223 Graphic arts technicians,155,36822,38415,
        5224 Broadcast technicians,50,77364,79496,
        5225 Audio and video recording technicians,425,36740,38262,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",385,49812,57294,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",205,15710,23657,
"      523 Announcers and other performers, n.e.c.",430,20960,35504,
        5231 Announcers and other broadcasters,205,46602,56239,
"        5232 Other performers, n.e.c.",225,7877,16635,
      524 Creative designers and craftspersons,4225,33494,38221,
        5241 Graphic designers and illustrators,2520,39607,42236,
        5242 Interior designers and interior decorators,940,32874,35239,
"        5243 Theatre, fashion, exhibit and other creative designers",345,20147,31228,
        5244 Artisans and craftspersons,395,13671,26243,
"        5245 Patternmakers - textile, leather and fur products",20,0,0,
"      525 Athletes, coaches, referees and related occupations",7455,7295,17277,
