"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Calgary,,,,
Global non-response rate (GNR) =   4.9 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"      511 Librarians, archivists, conservators and curators",350,67341,66766,
        5111 Librarians,290,66381,63761,
        5112 Conservators and curators,45,72316,79776,
        5113 Archivists,15,0,0,
"      512 Writing, translating and related communications professionals",2015,38886,43514,
        5121 Authors and writers,935,41031,42661,
        5122 Editors,430,36210,40266,
        5123 Journalists,350,56097,65324,
"        5125 Translators, terminologists and interpreters",295,10897,24879,
      513 Creative and performing artists,3725,15630,26152,
"        5131 Producers, directors, choreographers and related occupations",705,51477,55547,
"        5132 Conductors, composers and arrangers",85,26434,31028,
        5133 Musicians and singers,1445,12555,19129,
        5134 Dancers,485,13919,21098,
        5135 Actors and comedians,255,5455,15292,
"        5136 Painters, sculptors and other visual artists",755,11419,18548,
"    52 Technical occupations in art, culture, recreation and sport",14515,20767,34158,
"      521 Technical occupations in libraries, public archives, museums and art galleries",585,28973,30689,
        5211 Library and public archive technicians,365,32855,36623,
        5212 Technical occupations related to museums and art galleries,220,13391,20794,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",2245,31148,38041,
        5221 Photographers,825,16174,22996,
        5222 Film and video camera operators,165,39533,41574,
        5223 Graphic arts technicians,105,47214,51422,
        5224 Broadcast technicians,145,58483,51465,
        5225 Audio and video recording technicians,300,41251,42129,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",415,43146,51460,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",285,43166,43629,
"      523 Announcers and other performers, n.e.c.",470,19647,39025,
        5231 Announcers and other broadcasters,200,52704,61555,
"        5232 Other performers, n.e.c.",270,11559,22168,
      524 Creative designers and craftspersons,4235,37037,42583,
        5241 Graphic designers and illustrators,2000,40701,43314,
        5242 Interior designers and interior decorators,1345,41665,49285,
"        5243 Theatre, fashion, exhibit and other creative designers",445,28962,39747,
        5244 Artisans and craftspersons,430,16457,20387,
"        5245 Patternmakers - textile, leather and fur products",10,0,0,
"      525 Athletes, coaches, referees and related occupations",6980,11724,27757,
        5251 Athletes,185,0,0,
        5252 Coaches,680,31553,49013,
        5253 Sports officials and referees,245,2304,15141,
"        5254 Program leaders and instructors in recreation, sport and fitness",5860,11037,20459,
  6 Sales and service occupations,185710,22134,33105,
    62 Retail sales supervisors and specialized sales occupations,19015,51046,75386,
      621 Retail sales supervisors,3250,33920,37762,
        6211 Retail sales supervisors,3250,33920,37762,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,6800,77932,105541,
        6221 Technical sales specialists - wholesale trade,5155,94545,124140,
        6222 Retail and wholesale buyers,1645,37529,47221,
"      623 Insurance, real estate and financial sales occupations",8965,48390,66178,
        6231 Insurance agents and brokers,2560,56575,78361,
        6232 Real estate agents and salespersons,3535,33103,50667,
        6235 Financial sales representatives,2875,51309,74373,
    63 Service supervisors and specialized service occupations,23825,27913,31399,
      631 Service supervisors,4650,33099,38776,
        6311 Food service supervisors,2440,27863,28945,
        6312 Executive housekeepers,200,40385,42967,
"        6313 Accommodation, travel, tourism and related services supervisors",275,47132,48571,
        6314 Customer and information services supervisors,370,58805,64301,
        6315 Cleaning supervisors,600,37622,44373,
        6316 Other services supervisors,765,42402,48810,
      632 Chefs and cooks,11830,25837,28397,
        6321 Chefs,3305,34576,37122,
        6322 Cooks,8530,22816,25019,
      633 Butchers and bakers,2670,33756,33802,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",695,43471,43515,
        6332 Bakers,1975,27355,30368,
      634 Specialized occupations in personal and customer services,4675,24306,30289,
        6341 Hairstylists and barbers,3620,23069,29302,
"        6342 Tailors, dressmakers, furriers and milliners",630,27479,28531,
        6343 Shoe repairers and shoemakers,50,21408,23693,
"        6344 Jewellers, jewellery and watch repairers and related occupations",130,22980,32280,
        6345 Upholsterers,145,36361,32284,
        6346 Funeral directors and embalmers,110,58803,70322,
    64 Sales representatives and salespersons - wholesale and retail trade,37990,19947,35903,
      641 Sales and account representatives - wholesale trade (non-technical),5095,65030,86383,
        6411 Sales and account representatives - wholesale trade (non-technical),5100,65030,86383,
      642 Retail salespersons,32895,16815,28080,
        6421 Retail salespersons,32890,16815,28080,
    65 Service representatives and other customer and personal services occupations,41140,22943,29536,
      651 Occupations in food and beverage service,15025,12135,15849,
        6511 Maîtres d'hôtel and hosts/hostesses,1700,5591,8604,
        6512 Bartenders,2185,15614,19684,
        6513 Food and beverage servers,11140,12546,16202,
      652 Occupations in travel and accommodation,5430,41668,43734,
        6521 Travel counsellors,945,41146,41938,
        6522 Pursers and flight attendants,1895,52504,51587,
        6523 Airline ticket and service agents,1670,42665,44481,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",100,33043,41141,
        6525 Hotel front desk clerks,825,27029,26481,
      653 Tourism and amusement services occupations,1165,23700,27868,
        6531 Tour and travel guides,75,6765,18197,
        6532 Outdoor sport and recreational guides,75,11840,12188,
        6533 Casino occupations,1010,25260,29799,
      654 Security guards and related security service occupations,5005,35435,38498,
        6541 Security guards and related security service occupations,5005,35435,38498,
      655 Customer and information services representatives,10595,35216,39688,
        6551 Customer services representatives - financial institutions,2555,29649,34376,
        6552 Other customer and information services representatives,8040,37829,41376,
      656 Other occupations in personal service,3920,19933,23923,
"        6561 Image, social and other personal consultants",145,12022,20503,
"        6562 Estheticians, electrologists and related occupations",2525,22191,25196,
        6563 Pet groomers and animal care workers,1125,15539,22265,
        6564 Other personal service occupations,115,12023,16717,
    66 Sales support occupations,22585,13403,19251,
      661 Cashiers,13185,10799,14984,
        6611 Cashiers,13185,10799,14984,
      662 Other sales support and related occupations,9400,18909,25236,
        6621 Service station attendants,660,12625,22476,
"        6622 Store shelf stockers, clerks and order fillers",7355,21046,24350,
        6623 Other sales related occupations,1385,12314,31242,
"    67 Service support and other service occupations, n.e.c.",41150,17156,23144,
"      671 Food counter attendants, kitchen helpers and related support occupations",17255,10726,15190,
"        6711 Food counter attendants, kitchen helpers and related support occupations",17255,10726,15190,
"      672 Support occupations in accommodation, travel and amusement services",2010,7742,17149,
"        6721 Support occupations in accommodation, travel and facilities set-up services",180,22054,27687,
"        6722 Operators and attendants in amusement, recreation and sport",1830,7186,16119,
