"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Barrie,,,,
Global non-response rate (GNR) =   4.1 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        6511 Maîtres d'hôtel and hosts/hostesses,225,6692,8805,
        6512 Bartenders,275,14827,18158,
        6513 Food and beverage servers,1230,10827,12329,
      652 Occupations in travel and accommodation,375,32398,32936,
        6521 Travel counsellors,110,35673,30173,
        6522 Pursers and flight attendants,130,42032,39304,
        6523 Airline ticket and service agents,25,0,0,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",25,0,0,
        6525 Hotel front desk clerks,85,12846,17069,
      653 Tourism and amusement services occupations,220,39371,35570,
        6531 Tour and travel guides,0,0,0,
        6532 Outdoor sport and recreational guides,15,0,0,
        6533 Casino occupations,205,40489,37686,
      654 Security guards and related security service occupations,480,29212,38613,
        6541 Security guards and related security service occupations,480,29212,38613,
      655 Customer and information services representatives,2415,25878,30316,
        6551 Customer services representatives - financial institutions,415,24815,29130,
        6552 Other customer and information services representatives,1995,26477,30563,
      656 Other occupations in personal service,565,12265,17013,
"        6561 Image, social and other personal consultants",15,0,0,
"        6562 Estheticians, electrologists and related occupations",340,16219,19916,
        6563 Pet groomers and animal care workers,185,10275,13617,
        6564 Other personal service occupations,25,0,0,
    66 Sales support occupations,3555,11123,15798,
      661 Cashiers,1985,9269,12939,
        6611 Cashiers,1985,9269,12939,
      662 Other sales support and related occupations,1570,15640,19411,
        6621 Service station attendants,90,7521,11044,
"        6622 Store shelf stockers, clerks and order fillers",1195,17886,20795,
        6623 Other sales related occupations,285,12533,16158,
"    67 Service support and other service occupations, n.e.c.",6220,12225,17766,
"      671 Food counter attendants, kitchen helpers and related support occupations",3055,8596,11075,
"        6711 Food counter attendants, kitchen helpers and related support occupations",3060,8596,11075,
"      672 Support occupations in accommodation, travel and amusement services",310,5591,12060,
"        6721 Support occupations in accommodation, travel and facilities set-up services",10,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",300,5547,11249,
      673 Cleaners,2665,21002,25808,
        6731 Light duty cleaners,1165,14843,16810,
        6732 Specialized cleaners,225,19870,23807,
"        6733 Janitors, caretakers and building superintendents",1270,34292,34423,
"      674 Other service support and related occupations, n.e.c.",185,16371,22183,
"        6741 Dry cleaning, laundry and related occupations",60,28662,29570,
"        6742 Other service support occupations, n.e.c.",125,12365,18770,
"  7 Trades, transport and equipment operators and related occupations",18535,44867,48723,
"    72 Industrial, electrical and construction trades",6540,46574,51006,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",735,53545,54695,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",135,70385,68770,
