"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Toronto,,,,
Global non-response rate (GNR) =   4.2 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"  5 Occupations in art, culture, recreation and sport",127240,19925,33750,
    51 Professional occupations in art and culture,45320,24498,38648,
"      511 Librarians, archivists, conservators and curators",2420,63466,61529,
        5111 Librarians,1825,68116,65329,
        5112 Conservators and curators,330,56553,52545,
        5113 Archivists,265,48904,46428,
"      512 Writing, translating and related communications professionals",17275,36551,44475,
        5121 Authors and writers,6930,33595,43343,
        5122 Editors,5230,42416,46156,
        5123 Journalists,2525,50981,60341,
"        5125 Translators, terminologists and interpreters",2590,16751,28650,
      513 Creative and performing artists,25625,16917,32560,
"        5131 Producers, directors, choreographers and related occupations",8495,49378,56970,
"        5132 Conductors, composers and arrangers",975,20353,37320,
        5133 Musicians and singers,6875,11173,18545,
        5134 Dancers,1995,11058,18035,
        5135 Actors and comedians,3945,10095,19003,
"        5136 Painters, sculptors and other visual artists",3350,12341,22619,
"    52 Technical occupations in art, culture, recreation and sport",81920,17703,31041,
"      521 Technical occupations in libraries, public archives, museums and art galleries",2235,30666,33779,
        5211 Library and public archive technicians,1245,44522,43023,
        5212 Technical occupations related to museums and art galleries,985,12937,22073,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",16730,33339,43069,
        5221 Photographers,3815,14335,23667,
        5222 Film and video camera operators,1155,30784,40279,
        5223 Graphic arts technicians,1040,41221,49809,
        5224 Broadcast technicians,835,63142,60618,
        5225 Audio and video recording technicians,3470,41026,49967,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",3360,46636,53151,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",3055,31680,42370,
"      523 Announcers and other performers, n.e.c.",2365,15219,43547,
        5231 Announcers and other broadcasters,955,35519,65749,
"        5232 Other performers, n.e.c.",1410,10547,28484,
      524 Creative designers and craftspersons,28150,34833,40668,
        5241 Graphic designers and illustrators,16375,39911,43404,
        5242 Interior designers and interior decorators,6180,31880,40002,
"        5243 Theatre, fashion, exhibit and other creative designers",3625,29837,38534,
        5244 Artisans and craftspersons,1835,16923,22655,
"        5245 Patternmakers - textile, leather and fur products",135,37556,41017,
"      525 Athletes, coaches, referees and related occupations",32440,6636,15386,
        5251 Athletes,455,15545,131967,
        5252 Coaches,1580,18869,31491,
        5253 Sports officials and referees,610,3495,9861,
"        5254 Program leaders and instructors in recreation, sport and fitness",29795,6239,12851,
  6 Sales and service occupations,735320,19470,30468,
    62 Retail sales supervisors and specialized sales occupations,98925,43473,64108,
      621 Retail sales supervisors,10135,29988,38352,
        6211 Retail sales supervisors,10130,29988,38352,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,27720,56476,79219,
        6221 Technical sales specialists - wholesale trade,18760,71398,94880,
        6222 Retail and wholesale buyers,8960,34968,46450,
"      623 Insurance, real estate and financial sales occupations",61070,41995,61522,
        6231 Insurance agents and brokers,13545,48501,62707,
        6232 Real estate agents and salespersons,28120,28112,54386,
        6235 Financial sales representatives,19410,47420,71031,
    63 Service supervisors and specialized service occupations,85620,21582,26199,
      631 Service supervisors,14210,31238,37241,
        6311 Food service supervisors,6075,24032,26478,
        6312 Executive housekeepers,370,41862,44178,
"        6313 Accommodation, travel, tourism and related services supervisors",555,43549,50770,
        6314 Customer and information services supervisors,2275,50881,56363,
        6315 Cleaning supervisors,1935,41363,43542,
        6316 Other services supervisors,3000,33624,37089,
      632 Chefs and cooks,42000,19609,23731,
        6321 Chefs,15740,24058,28796,
        6322 Cooks,26255,17487,20693,
      633 Butchers and bakers,9320,23606,25556,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",2005,28383,30594,
        6332 Bakers,7320,22480,24177,
      634 Specialized occupations in personal and customer services,20090,18354,23847,
        6341 Hairstylists and barbers,13705,16801,20643,
"        6342 Tailors, dressmakers, furriers and milliners",3225,19226,21741,
        6343 Shoe repairers and shoemakers,140,15834,24943,
"        6344 Jewellers, jewellery and watch repairers and related occupations",1230,22565,29664,
        6345 Upholsterers,1135,37719,36825,
        6346 Funeral directors and embalmers,655,57933,67507,
    64 Sales representatives and salespersons - wholesale and retail trade,144715,17261,30941,
      641 Sales and account representatives - wholesale trade (non-technical),23240,50810,66931,
        6411 Sales and account representatives - wholesale trade (non-technical),23240,50810,66931,
      642 Retail salespersons,121470,14582,24056,
        6421 Retail salespersons,121470,14582,24056,
    65 Service representatives and other customer and personal services occupations,167560,21043,27515,
      651 Occupations in food and beverage service,47330,11845,14503,
        6511 Maîtres d'hôtel and hosts/hostesses,4810,7042,9978,
        6512 Bartenders,6615,15340,17442,
        6513 Food and beverage servers,35905,11787,14569,
      652 Occupations in travel and accommodation,17355,35464,38825,
        6521 Travel counsellors,6090,32781,35768,
        6522 Pursers and flight attendants,4525,45687,47205,
        6523 Airline ticket and service agents,3555,34253,39130,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",590,44623,46319,
        6525 Hotel front desk clerks,2595,29304,29269,
      653 Tourism and amusement services occupations,1900,16266,23798,
        6531 Tour and travel guides,780,9858,15780,
        6532 Outdoor sport and recreational guides,235,7363,13354,
        6533 Casino occupations,885,37899,33626,
      654 Security guards and related security service occupations,25200,24756,27774,
        6541 Security guards and related security service occupations,25200,24756,27774,
      655 Customer and information services representatives,61295,33302,36487,
        6551 Customer services representatives - financial institutions,18125,33209,38676,
        6552 Other customer and information services representatives,43170,33356,35568,
      656 Other occupations in personal service,14480,14144,18544,
"        6561 Image, social and other personal consultants",555,16926,25697,
"        6562 Estheticians, electrologists and related occupations",9950,14511,18104,
        6563 Pet groomers and animal care workers,3630,12492,19020,
        6564 Other personal service occupations,345,11134,14682,
    66 Sales support occupations,87920,11247,15782,
      661 Cashiers,52075,9879,12739,
        6611 Cashiers,52075,9879,12739,
      662 Other sales support and related occupations,35845,14440,20203,
