"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ottawa - Gatineau (partie du Québec / Quebec part),,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        4311 Police officers (except commissioned),1095,90574,85317,
        4312 Firefighters,270,89489,81195,
        4313 Non-commissioned ranks of the Canadian Armed Forces,680,70583,70360,
"    44 Care providers and educational, legal and public protection support occupations",2080,22182,28091,
      441 Home care providers and educational support occupations,1760,17979,22158,
        4411 Home child care providers,445,12655,13791,
"        4412 Home support workers, housekeepers and related occupations",495,20129,24855,
        4413 Elementary and secondary school teacher assistants,820,23952,25070,
      442 Legal and public protection support occupations,320,63070,60821,
        4421 Sheriffs and bailiffs,35,0,43963,
        4422 Correctional service officers,160,64591,63330,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",125,61327,61811,
"  5 Occupations in art, culture, recreation and sport",5920,23562,35030,
    51 Professional occupations in art and culture,2695,51010,47218,
"      511 Librarians, archivists, conservators and curators",220,70709,66815,
        5111 Librarians,110,66919,65148,
        5112 Conservators and curators,50,85090,75880,
        5113 Archivists,65,67772,62822,
"      512 Writing, translating and related communications professionals",1845,59498,53760,
        5121 Authors and writers,230,63246,52744,
        5122 Editors,400,64921,55505,
        5123 Journalists,130,50885,56039,
"        5125 Translators, terminologists and interpreters",1075,58045,53048,
