"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = London,,,,
Global non-response rate (GNR) =   4.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        5112 Conservators and curators,30,0,56410,
        5113 Archivists,30,0,59074,
"      512 Writing, translating and related communications professionals",755,22988,30643,
        5121 Authors and writers,310,22977,30421,
        5122 Editors,180,15462,28228,
        5123 Journalists,105,37907,40740,
"        5125 Translators, terminologists and interpreters",165,22263,27276,
      513 Creative and performing artists,1080,10101,19207,
"        5131 Producers, directors, choreographers and related occupations",130,22441,44776,
"        5132 Conductors, composers and arrangers",40,19372,24146,
        5133 Musicians and singers,480,10752,13813,
        5134 Dancers,155,12632,17310,
        5135 Actors and comedians,105,4735,14032,
"        5136 Painters, sculptors and other visual artists",175,8290,18383,
"    52 Technical occupations in art, culture, recreation and sport",4605,14127,26906,
"      521 Technical occupations in libraries, public archives, museums and art galleries",235,26091,27234,
        5211 Library and public archive technicians,140,42579,36574,
        5212 Technical occupations related to museums and art galleries,95,12112,13655,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",645,19847,33574,
        5221 Photographers,230,10033,15574,
        5222 Film and video camera operators,45,0,0,
        5223 Graphic arts technicians,85,55429,56924,
        5224 Broadcast technicians,30,0,46022,
        5225 Audio and video recording technicians,85,19873,24862,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",105,44060,57196,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",60,26147,34816,
"      523 Announcers and other performers, n.e.c.",180,15566,22584,
        5231 Announcers and other broadcasters,65,35602,45282,
"        5232 Other performers, n.e.c.",110,7794,9434,
      524 Creative designers and craftspersons,1230,36150,36191,
        5241 Graphic designers and illustrators,685,37574,40568,
        5242 Interior designers and interior decorators,265,42635,40048,
"        5243 Theatre, fashion, exhibit and other creative designers",85,30654,27624,
        5244 Artisans and craftspersons,190,16507,19544,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",2315,7091,20397,
        5251 Athletes,30,0,0,
        5252 Coaches,145,19162,33331,
        5253 Sports officials and referees,70,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",2080,6927,12905,
  6 Sales and service occupations,62470,16887,24418,
    62 Retail sales supervisors and specialized sales occupations,5920,41134,51130,
      621 Retail sales supervisors,965,30093,33609,
        6211 Retail sales supervisors,960,30093,33609,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,1715,48016,60143,
        6221 Technical sales specialists - wholesale trade,1160,68052,72204,
        6222 Retail and wholesale buyers,555,24562,34845,
"      623 Insurance, real estate and financial sales occupations",3240,43021,51563,
        6231 Insurance agents and brokers,1155,46158,58801,
        6232 Real estate agents and salespersons,1105,27338,44941,
        6235 Financial sales representatives,980,45481,50520,
    63 Service supervisors and specialized service occupations,7760,20010,22848,
      631 Service supervisors,1490,27649,32949,
        6311 Food service supervisors,815,23465,25351,
        6312 Executive housekeepers,65,33337,39558,
"        6313 Accommodation, travel, tourism and related services supervisors",60,45711,42596,
        6314 Customer and information services supervisors,230,44672,46537,
        6315 Cleaning supervisors,125,37939,41502,
        6316 Other services supervisors,195,33985,38166,
      632 Chefs and cooks,3560,17056,19419,
        6321 Chefs,690,25922,27989,
        6322 Cooks,2875,14719,17371,
      633 Butchers and bakers,840,18427,20490,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",170,32569,32224,
        6332 Bakers,665,15868,17507,
      634 Specialized occupations in personal and customer services,1870,19603,22403,
        6341 Hairstylists and barbers,1405,17688,19755,
"        6342 Tailors, dressmakers, furriers and milliners",240,20041,22565,
        6343 Shoe repairers and shoemakers,25,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",55,35916,34512,
        6345 Upholsterers,60,20647,24855,
        6346 Funeral directors and embalmers,90,51623,55374,
    64 Sales representatives and salespersons - wholesale and retail trade,12000,16630,26852,
      641 Sales and account representatives - wholesale trade (non-technical),1700,49628,55074,
        6411 Sales and account representatives - wholesale trade (non-technical),1700,49628,55074,
      642 Retail salespersons,10295,14554,22194,
        6421 Retail salespersons,10300,14554,22194,
