"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Trois-Rivières,,,,
Global non-response rate (GNR) =   3.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        4168 Program officers unique to government,95,1179,24816,
"        4169 Other professional occupations in social science, n.e.c.",30,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",2735,28111,29797,
"      421 Paraprofessional occupations in legal, social, community and education services",2735,28111,29797,
        4211 Paralegal and related occupations,60,26213,27513,
        4212 Social and community service workers,755,31295,32194,
        4214 Early childhood educators and assistants,1470,25907,26403,
        4215 Instructors of persons with disabilities,355,40657,38903,
        4216 Other instructors,45,0,0,
        4217 Other religious occupations,50,19938,26485,
    43 Occupations in front-line public protection services,600,83983,71786,
      431 Occupations in front-line public protection services,600,83983,71786,
        4311 Police officers (except commissioned),375,92227,88805,
        4312 Firefighters,110,61026,64211,
        4313 Non-commissioned ranks of the Canadian Armed Forces,115,16616,23975,
"    44 Care providers and educational, legal and public protection support occupations",890,19904,25542,
      441 Home care providers and educational support occupations,770,16701,20001,
        4411 Home child care providers,120,10610,13893,
"        4412 Home support workers, housekeepers and related occupations",330,18316,20099,
        4413 Elementary and secondary school teacher assistants,325,22295,22095,
      442 Legal and public protection support occupations,125,61024,60057,
        4421 Sheriffs and bailiffs,10,0,0,
        4422 Correctional service officers,85,64045,69965,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",20,0,0,
"  5 Occupations in art, culture, recreation and sport",1940,15908,23786,
    51 Professional occupations in art and culture,530,30604,36136,
"      511 Librarians, archivists, conservators and curators",40,57289,55066,
        5111 Librarians,25,0,0,
        5112 Conservators and curators,0,0,0,
        5113 Archivists,0,0,0,
"      512 Writing, translating and related communications professionals",270,38859,44818,
        5121 Authors and writers,20,0,0,
        5122 Editors,70,24993,37096,
        5123 Journalists,100,54734,66172,
