"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Hamilton,,,,
Global non-response rate (GNR) =   4.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        6235 Financial sales representatives,1560,49167,61679,
    63 Service supervisors and specialized service occupations,10825,20177,24890,
      631 Service supervisors,1675,30557,38233,
        6311 Food service supervisors,835,22499,26457,
        6312 Executive housekeepers,40,29486,27152,
"        6313 Accommodation, travel, tourism and related services supervisors",65,52338,52238,
        6314 Customer and information services supervisors,295,44752,52468,
        6315 Cleaning supervisors,210,51676,55576,
        6316 Other services supervisors,230,37100,44981,
      632 Chefs and cooks,5095,17942,21668,
        6321 Chefs,1185,26763,29583,
        6322 Cooks,3910,15934,19278,
      633 Butchers and bakers,1295,21607,25520,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",250,37596,38954,
        6332 Bakers,1045,19700,22296,
      634 Specialized occupations in personal and customer services,2765,18207,22451,
        6341 Hairstylists and barbers,2150,17423,20552,
"        6342 Tailors, dressmakers, furriers and milliners",335,19700,20748,
        6343 Shoe repairers and shoemakers,10,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",95,12780,20703,
        6345 Upholsterers,60,23657,29725,
        6346 Funeral directors and embalmers,125,56167,58683,
    64 Sales representatives and salespersons - wholesale and retail trade,19460,18154,33991,
      641 Sales and account representatives - wholesale trade (non-technical),3055,57498,84498,
        6411 Sales and account representatives - wholesale trade (non-technical),3060,57498,84498,
      642 Retail salespersons,16405,15251,24575,
        6421 Retail salespersons,16405,15251,24575,
    65 Service representatives and other customer and personal services occupations,18390,19046,25734,
      651 Occupations in food and beverage service,6090,10003,12140,
        6511 Maîtres d'hôtel and hosts/hostesses,840,5105,6301,
        6512 Bartenders,945,13319,14508,
        6513 Food and beverage servers,4305,10668,12758,
      652 Occupations in travel and accommodation,1365,38554,40125,
        6521 Travel counsellors,570,35052,32955,
        6522 Pursers and flight attendants,385,55743,53119,
        6523 Airline ticket and service agents,185,57629,49435,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",65,48385,46203,
        6525 Hotel front desk clerks,165,21645,21507,
      653 Tourism and amusement services occupations,210,35902,33448,
        6531 Tour and travel guides,40,6460,8609,
        6532 Outdoor sport and recreational guides,15,0,0,
