"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Thunder Bay,,,,
Global non-response rate (GNR) =   5.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        3212 Medical laboratory technicians and pathologists' assistants,95,35403,37881,
        3213 Animal health technologists and veterinary technicians,35,0,23254,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",30,77748,72471,
        3215 Medical radiation technologists,110,54355,52707,
        3216 Medical sonographers,50,67556,64269,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",15,0,0,
        3219 Other medical technologists and technicians (except dental health),220,34009,37767,
      322 Technical occupations in dental health care,95,54256,47547,
        3221 Denturists,10,0,0,
        3222 Dental hygienists and dental therapists,85,54243,46486,
"        3223 Dental technologists, technicians and laboratory assistants",10,0,0,
      323 Other technical occupations in health care,835,49828,51526,
        3231 Opticians,15,0,0,
        3232 Practitioners of natural healing,0,0,0,
        3233 Licensed practical nurses,475,50810,46834,
        3234 Paramedical occupations,190,83800,76591,
        3236 Massage therapists,95,26670,30539,
        3237 Other technical occupations in therapy and assessment,60,35179,42069,
    34 Assisting occupations in support of health services,1530,32572,32131,
      341 Assisting occupations in support of health services,1530,32572,32131,
        3411 Dental assistants,110,31878,30725,
"        3413 Nurse aides, orderlies and patient service associates",1230,32309,31996,
        3414 Other assisting occupations in support of health services,190,33566,33872,
"  4 Occupations in education, law and social, community and government services",8985,46459,53157,
    40 Professional occupations in education services,2875,67097,63789,
      401 University professors and post-secondary assistants,720,54433,67150,
        4011 University professors and lecturers,410,110450,104813,
        4012 Post-secondary teaching and research assistants,315,10435,17898,
      402 College and other vocational instructors,280,69887,61842,
        4021 College and other vocational instructors,275,69887,61842,
      403 Secondary and elementary school teachers and educational counsellors,1875,68259,62783,
        4031 Secondary school teachers,615,71067,66390,
        4032 Elementary school and kindergarten teachers,1120,72114,61940,
        4033 Educational counsellors,140,57706,53732,
"    41 Professional occupations in law and social, community and government services",1885,56585,61133,
"      411 Judges, lawyers and Quebec notaries",250,74245,95949,
        4111 Judges,30,0,0,
        4112 Lawyers and Quebec notaries,230,73786,81883,
      415 Social and community service professionals,915,54629,53865,
        4151 Psychologists,85,53226,62514,
        4152 Social workers,570,56404,54716,
"        4153 Family, marriage and other related counsellors",95,44012,48897,
        4154 Professional occupations in religion,85,61989,52603,
        4155 Probation and parole officers and related occupations,15,0,0,
        4156 Employment counsellors,70,41718,41869,
"      416 Policy and program researchers, consultants and officers",715,53166,58094,
"        4161 Natural and applied science policy researchers, consultants and program officers",95,66202,71029,
        4162 Economists and economic policy researchers and analysts,15,0,0,
        4163 Business development officers and marketing researchers and consultants,100,64446,73909,
"        4164 Social policy researchers, consultants and program officers",85,61858,60120,
"        4165 Health policy researchers, consultants and program officers",130,54641,64442,
"        4166 Education policy researchers, consultants and program officers",140,38872,49031,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",25,0,0,
        4168 Program officers unique to government,90,35499,39353,
"        4169 Other professional occupations in social science, n.e.c.",35,38439,42846,
"    42 Paraprofessional occupations in legal, social, community and education services",2005,36076,37893,
"      421 Paraprofessional occupations in legal, social, community and education services",2000,36076,37893,
        4211 Paralegal and related occupations,130,48648,44949,
        4212 Social and community service workers,1150,45927,43077,
        4214 Early childhood educators and assistants,595,29729,28514,
        4215 Instructors of persons with disabilities,40,29735,34654,
        4216 Other instructors,70,11483,26737,
        4217 Other religious occupations,20,0,0,
    43 Occupations in front-line public protection services,740,95462,82124,
      431 Occupations in front-line public protection services,740,95462,82124,
        4311 Police officers (except commissioned),455,102826,94530,
        4312 Firefighters,185,90870,77671,
        4313 Non-commissioned ranks of the Canadian Armed Forces,100,35564,33714,
"    44 Care providers and educational, legal and public protection support occupations",1475,24713,28497,
      441 Home care providers and educational support occupations,1270,20316,23151,
        4411 Home child care providers,160,10432,10433,
"        4412 Home support workers, housekeepers and related occupations",550,23654,26081,
        4413 Elementary and secondary school teacher assistants,560,26397,24014,
      442 Legal and public protection support occupations,210,70116,60535,
        4421 Sheriffs and bailiffs,10,0,0,
        4422 Correctional service officers,150,72042,66855,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",55,47529,52126,
"  5 Occupations in art, culture, recreation and sport",1400,14412,23013,
    51 Professional occupations in art and culture,435,14902,22634,
"      511 Librarians, archivists, conservators and curators",40,37209,40809,
        5111 Librarians,30,0,0,
        5112 Conservators and curators,10,0,0,
        5113 Archivists,0,0,0,
"      512 Writing, translating and related communications professionals",155,20321,25826,
        5121 Authors and writers,60,23688,24127,
        5122 Editors,40,19184,28369,
        5123 Journalists,30,0,0,
"        5125 Translators, terminologists and interpreters",30,0,0,
      513 Creative and performing artists,235,10435,17410,
"        5131 Producers, directors, choreographers and related occupations",50,24564,28857,
"        5132 Conductors, composers and arrangers",10,0,0,
        5133 Musicians and singers,115,9769,16164,
        5134 Dancers,20,0,0,
        5135 Actors and comedians,15,0,0,
"        5136 Painters, sculptors and other visual artists",35,0,0,
"    52 Technical occupations in art, culture, recreation and sport",970,14073,23182,
"      521 Technical occupations in libraries, public archives, museums and art galleries",135,38281,30165,
        5211 Library and public archive technicians,85,47437,42803,
        5212 Technical occupations related to museums and art galleries,55,5197,11460,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",105,17007,29151,
        5221 Photographers,30,0,0,
        5222 Film and video camera operators,20,0,0,
        5223 Graphic arts technicians,10,0,0,
        5224 Broadcast technicians,10,0,0,
        5225 Audio and video recording technicians,10,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",25,0,0,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",15,0,0,
"      523 Announcers and other performers, n.e.c.",45,43819,33936,
        5231 Announcers and other broadcasters,30,0,41116,
"        5232 Other performers, n.e.c.",15,0,0,
      524 Creative designers and craftspersons,200,24085,29919,
        5241 Graphic designers and illustrators,110,45079,43040,
        5242 Interior designers and interior decorators,20,0,0,
"        5243 Theatre, fashion, exhibit and other creative designers",10,0,0,
        5244 Artisans and craftspersons,55,10952,9945,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",480,9693,16070,
        5251 Athletes,15,0,0,
        5252 Coaches,30,0,32270,
        5253 Sports officials and referees,15,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",420,9264,15530,
  6 Sales and service occupations,14970,16862,23404,
    62 Retail sales supervisors and specialized sales occupations,980,40599,51032,
      621 Retail sales supervisors,220,28303,33853,
        6211 Retail sales supervisors,215,28303,33853,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,320,39905,47657,
        6221 Technical sales specialists - wholesale trade,205,59711,63530,
        6222 Retail and wholesale buyers,120,20426,21352,
"      623 Insurance, real estate and financial sales occupations",440,44693,61993,
        6231 Insurance agents and brokers,150,55283,75559,
        6232 Real estate agents and salespersons,140,43536,56206,
        6235 Financial sales representatives,150,40447,54195,
    63 Service supervisors and specialized service occupations,2235,22154,26034,
      631 Service supervisors,365,29259,34102,
        6311 Food service supervisors,120,24917,24127,
        6312 Executive housekeepers,25,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",40,53634,50385,
        6314 Customer and information services supervisors,15,0,0,
        6315 Cleaning supervisors,80,29246,33482,
        6316 Other services supervisors,85,33210,37330,
      632 Chefs and cooks,1100,20012,22771,
        6321 Chefs,205,32191,35557,
        6322 Cooks,895,17256,19895,
      633 Butchers and bakers,315,22107,23909,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",60,16919,24207,
        6332 Bakers,250,22472,23837,
      634 Specialized occupations in personal and customer services,455,21952,28809,
        6341 Hairstylists and barbers,360,22743,29776,
"        6342 Tailors, dressmakers, furriers and milliners",50,7324,9028,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",10,0,0,
        6345 Upholsterers,0,0,0,
        6346 Funeral directors and embalmers,30,58851,58861,
    64 Sales representatives and salespersons - wholesale and retail trade,2600,15021,22293,
      641 Sales and account representatives - wholesale trade (non-technical),210,51454,56544,
        6411 Sales and account representatives - wholesale trade (non-technical),210,51454,56544,
      642 Retail salespersons,2390,13500,19296,
        6421 Retail salespersons,2390,13500,19296,
    65 Service representatives and other customer and personal services occupations,3005,17305,22302,
      651 Occupations in food and beverage service,1055,11160,13139,
        6511 Maîtres d'hôtel and hosts/hostesses,65,5196,6992,
        6512 Bartenders,180,15275,15897,
        6513 Food and beverage servers,820,10849,13001,
      652 Occupations in travel and accommodation,245,20560,22812,
        6521 Travel counsellors,65,20646,26474,
        6522 Pursers and flight attendants,0,0,0,
        6523 Airline ticket and service agents,60,29907,30449,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0,
        6525 Hotel front desk clerks,110,18123,15709,
      653 Tourism and amusement services occupations,70,23158,27688,
        6531 Tour and travel guides,15,0,0,
        6532 Outdoor sport and recreational guides,10,0,0,
        6533 Casino occupations,55,34505,33830,
      654 Security guards and related security service occupations,375,25402,26875,
        6541 Security guards and related security service occupations,370,25402,26875,
      655 Customer and information services representatives,985,27737,30864,
        6551 Customer services representatives - financial institutions,255,24818,29266,
        6552 Other customer and information services representatives,730,28080,31411,
      656 Other occupations in personal service,285,15776,18985,
"        6561 Image, social and other personal consultants",0,0,0,
"        6562 Estheticians, electrologists and related occupations",175,20054,21602,
        6563 Pet groomers and animal care workers,100,8952,15208,
        6564 Other personal service occupations,0,0,0,
    66 Sales support occupations,2120,11318,14531,
      661 Cashiers,1275,9980,11808,
        6611 Cashiers,1275,9980,11808,
      662 Other sales support and related occupations,850,15518,18600,
        6621 Service station attendants,125,13037,17690,
"        6622 Store shelf stockers, clerks and order fillers",670,16316,18586,
        6623 Other sales related occupations,65,6360,20489,
"    67 Service support and other service occupations, n.e.c.",4020,16240,21442,
"      671 Food counter attendants, kitchen helpers and related support occupations",1625,10099,14246,
"        6711 Food counter attendants, kitchen helpers and related support occupations",1630,10099,14246,
"      672 Support occupations in accommodation, travel and amusement services",125,8588,16735,
"        6721 Support occupations in accommodation, travel and facilities set-up services",20,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",110,7053,14894,
      673 Cleaners,2090,23386,27460,
        6731 Light duty cleaners,1040,16940,21018,
        6732 Specialized cleaners,185,18537,22469,
"        6733 Janitors, caretakers and building superintendents",870,37807,36189,
"      674 Other service support and related occupations, n.e.c.",170,17504,19837,
"        6741 Dry cleaning, laundry and related occupations",100,28601,27381,
"        6742 Other service support occupations, n.e.c.",75,9244,9649,
"  7 Trades, transport and equipment operators and related occupations",10080,48414,51726,
"    72 Industrial, electrical and construction trades",3360,56004,57727,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",330,73682,77094,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",50,64759,123656,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",65,91944,84286,
