"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Peterborough,,,,
Global non-response rate (GNR) =   4.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        4165 Health policy researchers, consultants and program officers",90,38845,47245,
"        4166 Education policy researchers, consultants and program officers",90,56996,54969,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",50,42255,36176,
        4168 Program officers unique to government,20,0,0,
"        4169 Other professional occupations in social science, n.e.c.",15,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",1710,30456,31326,
"      421 Paraprofessional occupations in legal, social, community and education services",1710,30456,31326,
        4211 Paralegal and related occupations,75,35427,31908,
        4212 Social and community service workers,895,34850,37400,
        4214 Early childhood educators and assistants,550,25516,25123,
        4215 Instructors of persons with disabilities,40,37159,34521,
        4216 Other instructors,120,7071,15845,
        4217 Other religious occupations,25,0,0,
    43 Occupations in front-line public protection services,565,102324,90874,
      431 Occupations in front-line public protection services,570,102324,90874,
        4311 Police officers (except commissioned),355,105162,100377,
        4312 Firefighters,160,98353,85452,
        4313 Non-commissioned ranks of the Canadian Armed Forces,55,44189,46201,
"    44 Care providers and educational, legal and public protection support occupations",1270,25033,30126,
      441 Home care providers and educational support occupations,1090,19540,22607,
        4411 Home child care providers,270,9848,10912,
"        4412 Home support workers, housekeepers and related occupations",410,22024,25690,
        4413 Elementary and secondary school teacher assistants,410,31516,27238,
      442 Legal and public protection support occupations,185,76588,74961,
        4421 Sheriffs and bailiffs,0,0,0,
        4422 Correctional service officers,160,77570,77552,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",20,0,0,
"  5 Occupations in art, culture, recreation and sport",1695,12364,8001,
    51 Professional occupations in art and culture,635,12392,-13499,
"      511 Librarians, archivists, conservators and curators",40,32620,52661,
        5111 Librarians,20,0,0,
        5112 Conservators and curators,10,0,0,
        5113 Archivists,10,0,0,
"      512 Writing, translating and related communications professionals",240,18063,-69701,
        5121 Authors and writers,115,19670,22802,
        5122 Editors,60,18093,28683,
        5123 Journalists,50,35434,27634,
"        5125 Translators, terminologists and interpreters",20,0,0,
      513 Creative and performing artists,355,7738,18240,
"        5131 Producers, directors, choreographers and related occupations",35,0,0,
"        5132 Conductors, composers and arrangers",15,0,0,
        5133 Musicians and singers,130,9116,19479,
        5134 Dancers,55,5719,10726,
        5135 Actors and comedians,25,0,0,
"        5136 Painters, sculptors and other visual artists",100,7116,9737,
"    52 Technical occupations in art, culture, recreation and sport",1060,12137,20876,
"      521 Technical occupations in libraries, public archives, museums and art galleries",110,31285,27683,
        5211 Library and public archive technicians,65,34334,35269,
        5212 Technical occupations related to museums and art galleries,50,8117,17594,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",110,19322,29995,
        5221 Photographers,40,11885,13567,
        5222 Film and video camera operators,15,0,0,
        5223 Graphic arts technicians,10,0,0,
        5224 Broadcast technicians,15,0,0,
        5225 Audio and video recording technicians,10,0,0,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",20,0,0,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",15,0,0,
"      523 Announcers and other performers, n.e.c.",75,25379,32439,
        5231 Announcers and other broadcasters,40,29928,40969,
"        5232 Other performers, n.e.c.",45,11560,24664,
      524 Creative designers and craftspersons,280,23384,26753,
        5241 Graphic designers and illustrators,150,30129,29115,
        5242 Interior designers and interior decorators,70,28089,32985,
"        5243 Theatre, fashion, exhibit and other creative designers",10,0,0,
        5244 Artisans and craftspersons,45,9839,14612,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",470,5552,11529,
        5251 Athletes,10,0,0,
        5252 Coaches,15,0,0,
        5253 Sports officials and referees,10,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",435,5538,10932,
  6 Sales and service occupations,15610,16068,24049,
    62 Retail sales supervisors and specialized sales occupations,1170,33610,49985,
      621 Retail sales supervisors,205,23387,26220,
        6211 Retail sales supervisors,205,23387,26220,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,380,33542,48213,
        6221 Technical sales specialists - wholesale trade,215,51853,63900,
        6222 Retail and wholesale buyers,165,23644,27962,
"      623 Insurance, real estate and financial sales occupations",585,43561,59475,
        6231 Insurance agents and brokers,205,59851,88589,
        6232 Real estate agents and salespersons,255,23128,41290,
        6235 Financial sales representatives,125,47685,48245,
    63 Service supervisors and specialized service occupations,1925,18213,20440,
      631 Service supervisors,250,26296,29537,
        6311 Food service supervisors,115,20968,19146,
        6312 Executive housekeepers,0,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",15,0,0,
        6314 Customer and information services supervisors,40,35332,35664,
        6315 Cleaning supervisors,45,52658,48932,
        6316 Other services supervisors,35,0,33708,
      632 Chefs and cooks,1025,14647,17178,
        6321 Chefs,150,25388,26566,
        6322 Cooks,875,12989,15592,
      633 Butchers and bakers,190,16751,20215,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",75,22445,26532,
        6332 Bakers,120,13181,16221,
      634 Specialized occupations in personal and customer services,460,18488,22764,
        6341 Hairstylists and barbers,350,18221,19900,
"        6342 Tailors, dressmakers, furriers and milliners",50,14831,20770,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",10,0,0,
        6345 Upholsterers,20,0,0,
        6346 Funeral directors and embalmers,30,0,44699,
    64 Sales representatives and salespersons - wholesale and retail trade,3145,17002,29261,
      641 Sales and account representatives - wholesale trade (non-technical),375,50996,51794,
        6411 Sales and account representatives - wholesale trade (non-technical),375,50996,51794,
      642 Retail salespersons,2770,15344,26205,
        6421 Retail salespersons,2770,15344,26205,
    65 Service representatives and other customer and personal services occupations,2960,18733,23727,
      651 Occupations in food and beverage service,855,10996,11835,
        6511 Maîtres d'hôtel and hosts/hostesses,50,6395,9001,
        6512 Bartenders,120,13403,14053,
        6513 Food and beverage servers,680,11361,11651,
      652 Occupations in travel and accommodation,235,28846,29393,
        6521 Travel counsellors,60,34133,35497,
        6522 Pursers and flight attendants,10,0,0,
        6523 Airline ticket and service agents,125,26054,26352,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",0,0,0,
        6525 Hotel front desk clerks,35,23122,24882,
      653 Tourism and amusement services occupations,120,32864,30515,
        6531 Tour and travel guides,15,0,0,
        6532 Outdoor sport and recreational guides,10,0,0,
        6533 Casino occupations,90,36382,38248,
      654 Security guards and related security service occupations,365,23951,38601,
        6541 Security guards and related security service occupations,365,23951,38601,
      655 Customer and information services representatives,1155,26244,26966,
        6551 Customer services representatives - financial institutions,225,31583,29528,
        6552 Other customer and information services representatives,930,24255,26346,
      656 Other occupations in personal service,230,14755,18747,
"        6561 Image, social and other personal consultants",0,0,0,
"        6562 Estheticians, electrologists and related occupations",125,17910,22312,
        6563 Pet groomers and animal care workers,90,14755,16442,
        6564 Other personal service occupations,10,0,0,
    66 Sales support occupations,2375,11723,15057,
      661 Cashiers,1425,10386,13090,
        6611 Cashiers,1430,10386,13090,
      662 Other sales support and related occupations,950,13613,18007,
        6621 Service station attendants,95,13461,17586,
"        6622 Store shelf stockers, clerks and order fillers",725,14086,17788,
        6623 Other sales related occupations,130,11938,19515,
"    67 Service support and other service occupations, n.e.c.",4030,13877,19712,
"      671 Food counter attendants, kitchen helpers and related support occupations",1750,9752,14289,
"        6711 Food counter attendants, kitchen helpers and related support occupations",1755,9752,14289,
"      672 Support occupations in accommodation, travel and amusement services",130,5629,10628,
"        6721 Support occupations in accommodation, travel and facilities set-up services",10,0,0,
"        6722 Operators and attendants in amusement, recreation and sport",125,5632,10795,
      673 Cleaners,1995,19980,25171,
        6731 Light duty cleaners,900,15712,18769,
        6732 Specialized cleaners,210,18794,22063,
"        6733 Janitors, caretakers and building superintendents",885,32452,32426,
"      674 Other service support and related occupations, n.e.c.",155,11346,18428,
"        6741 Dry cleaning, laundry and related occupations",55,18162,26058,
"        6742 Other service support occupations, n.e.c.",95,6289,13868,
"  7 Trades, transport and equipment operators and related occupations",8945,37832,42564,
"    72 Industrial, electrical and construction trades",3230,38450,45413,
"      720 Contractors and supervisors, industrial, electrical and construction trades and related workers",350,41636,51466,
"        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",40,74137,76659,
"        7202 Contractors and supervisors, electrical trades and telecommunications occupations",90,60206,66056,
"        7203 Contractors and supervisors, pipefitting trades",10,0,0,
