"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Regina,,,,
Global non-response rate (GNR) =   5.5 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"        5254 Program leaders and instructors in recreation, sport and fitness",820,11845,18637,
  6 Sales and service occupations,31250,22155,28865,
    62 Retail sales supervisors and specialized sales occupations,2800,49957,59118,
      621 Retail sales supervisors,535,38201,42018,
        6211 Retail sales supervisors,535,38201,42018,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,735,56285,71195,
        6221 Technical sales specialists - wholesale trade,520,71079,88896,
        6222 Retail and wholesale buyers,215,23855,28667,
"      623 Insurance, real estate and financial sales occupations",1530,52127,59299,
        6231 Insurance agents and brokers,505,52652,61666,
        6232 Real estate agents and salespersons,385,53708,60291,
        6235 Financial sales representatives,635,52008,56829,
    63 Service supervisors and specialized service occupations,4135,26455,29361,
      631 Service supervisors,850,31321,39492,
        6311 Food service supervisors,440,26734,30052,
        6312 Executive housekeepers,35,32984,39443,
"        6313 Accommodation, travel, tourism and related services supervisors",65,31318,42231,
        6314 Customer and information services supervisors,70,68240,78544,
        6315 Cleaning supervisors,95,45770,56804,
        6316 Other services supervisors,145,32570,36096,
      632 Chefs and cooks,1975,25089,26056,
        6321 Chefs,405,32781,33955,
        6322 Cooks,1570,23205,24027,
      633 Butchers and bakers,370,30365,28821,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",70,38943,32450,
        6332 Bakers,305,27493,27969,
      634 Specialized occupations in personal and customer services,935,22977,27338,
        6341 Hairstylists and barbers,720,23413,26134,
"        6342 Tailors, dressmakers, furriers and milliners",105,20343,29624,
        6343 Shoe repairers and shoemakers,0,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",35,0,0,
        6345 Upholsterers,30,0,0,
        6346 Funeral directors and embalmers,50,52615,44083,
    64 Sales representatives and salespersons - wholesale and retail trade,5755,21023,32122,
      641 Sales and account representatives - wholesale trade (non-technical),620,56973,69092,
        6411 Sales and account representatives - wholesale trade (non-technical),620,56973,69092,
      642 Retail salespersons,5140,18693,27663,
        6421 Retail salespersons,5140,18693,27663,
    65 Service representatives and other customer and personal services occupations,6635,22254,27114,
      651 Occupations in food and beverage service,2490,11198,14215,
        6511 Maîtres d'hôtel and hosts/hostesses,315,3549,6123,
        6512 Bartenders,310,13525,17444,
        6513 Food and beverage servers,1870,12469,15065,
      652 Occupations in travel and accommodation,325,30903,34945,
        6521 Travel counsellors,75,48481,44147,
        6522 Pursers and flight attendants,0,0,0,
        6523 Airline ticket and service agents,80,44954,45293,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",15,0,0,
        6525 Hotel front desk clerks,150,23769,22781,
      653 Tourism and amusement services occupations,180,40044,39867,
        6531 Tour and travel guides,15,0,0,
        6532 Outdoor sport and recreational guides,0,0,0,
        6533 Casino occupations,155,41260,44886,
      654 Security guards and related security service occupations,1055,28992,33278,
        6541 Security guards and related security service occupations,1060,28992,33278,
      655 Customer and information services representatives,1985,37184,37737,
        6551 Customer services representatives - financial institutions,430,34490,33778,
        6552 Other customer and information services representatives,1560,38475,38817,
      656 Other occupations in personal service,595,22816,26673,
"        6561 Image, social and other personal consultants",25,0,0,
"        6562 Estheticians, electrologists and related occupations",410,23794,29025,
        6563 Pet groomers and animal care workers,140,16537,20239,
        6564 Other personal service occupations,20,0,0,
    66 Sales support occupations,4150,12273,16607,
      661 Cashiers,2345,10469,14511,
        6611 Cashiers,2345,10469,14511,
      662 Other sales support and related occupations,1800,15348,19337,
        6621 Service station attendants,285,17301,20431,
"        6622 Store shelf stockers, clerks and order fillers",1280,15723,19294,
        6623 Other sales related occupations,240,12228,18267,
"    67 Service support and other service occupations, n.e.c.",7780,19986,23322,
"      671 Food counter attendants, kitchen helpers and related support occupations",2940,12338,16070,
"        6711 Food counter attendants, kitchen helpers and related support occupations",2940,12338,16070,
"      672 Support occupations in accommodation, travel and amusement services",265,9480,18212,
"        6721 Support occupations in accommodation, travel and facilities set-up services",50,8743,16170,
"        6722 Operators and attendants in amusement, recreation and sport",220,9525,18670,
      673 Cleaners,4165,26734,28850,
        6731 Light duty cleaners,1970,23617,24325,
        6732 Specialized cleaners,445,25028,26297,
