"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Ontario [1],,,,
Global non-response rate (GNR) =   4.6 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        3215 Medical radiation technologists,6780,74152,70186,
        3216 Medical sonographers,2885,67518,62887,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",1120,50381,47976,
        3219 Other medical technologists and technicians (except dental health),17770,31805,34135,
      322 Technical occupations in dental health care,14320,46410,46807,
        3221 Denturists,660,40331,48578,
        3222 Dental hygienists and dental therapists,11555,47457,46418,
"        3223 Dental technologists, technicians and laboratory assistants",2100,42247,48390,
      323 Other technical occupations in health care,55160,41496,44510,
        3231 Opticians,3085,47557,47380,
        3232 Practitioners of natural healing,3315,13220,20372,
        3233 Licensed practical nurses,22400,47480,44452,
        3234 Paramedical occupations,9835,86542,80001,
        3236 Massage therapists,11040,22125,25128,
        3237 Other technical occupations in therapy and assessment,5485,30370,33121,
    34 Assisting occupations in support of health services,112895,33519,33250,
      341 Assisting occupations in support of health services,112895,33519,33250,
        3411 Dental assistants,13300,33794,33314,
"        3413 Nurse aides, orderlies and patient service associates",87645,33607,33171,
        3414 Other assisting occupations in support of health services,11955,32528,33756,
"  4 Occupations in education, law and social, community and government services",846065,46974,58277,
    40 Professional occupations in education services,294820,63826,61761,
      401 University professors and post-secondary assistants,60495,21674,53701,
        4011 University professors and lecturers,26790,98822,97384,
        4012 Post-secondary teaching and research assistants,33700,10649,18976,
      402 College and other vocational instructors,30825,52378,56990,
        4021 College and other vocational instructors,30820,52378,56990,
      403 Secondary and elementary school teachers and educational counsellors,203500,72324,64879,
        4031 Secondary school teachers,66025,81051,69743,
        4032 Elementary school and kindergarten teachers,129510,69060,63091,
        4033 Educational counsellors,7970,53398,53636,
"    41 Professional occupations in law and social, community and government services",207675,62934,82465,
"      411 Judges, lawyers and Quebec notaries",39620,109980,165605,
        4111 Judges,955,293664,242613,
        4112 Lawyers and Quebec notaries,38660,108330,163697,
      415 Social and community service professionals,59985,52707,53729,
        4151 Psychologists,7845,52942,61697,
        4152 Social workers,23580,60484,58834,
"        4153 Family, marriage and other related counsellors",8225,44878,43867,
        4154 Professional occupations in religion,12690,45857,47014,
        4155 Probation and parole officers and related occupations,2040,75907,69728,
        4156 Employment counsellors,5610,45155,44957,
"      416 Policy and program researchers, consultants and officers",108070,62338,67934,
"        4161 Natural and applied science policy researchers, consultants and program officers",10435,75941,74797,
        4162 Economists and economic policy researchers and analysts,10070,82574,98884,
        4163 Business development officers and marketing researchers and consultants,31720,54069,68546,
"        4164 Social policy researchers, consultants and program officers",14555,66336,64371,
"        4165 Health policy researchers, consultants and program officers",16135,61720,65868,
"        4166 Education policy researchers, consultants and program officers",8870,57389,57656,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",4195,43240,46100,
        4168 Program officers unique to government,9565,63325,58097,
"        4169 Other professional occupations in social science, n.e.c.",2520,48448,51815,
"    42 Paraprofessional occupations in legal, social, community and education services",152475,32152,34041,
"      421 Paraprofessional occupations in legal, social, community and education services",152475,32152,34041,
        4211 Paralegal and related occupations,15925,46250,48877,
        4212 Social and community service workers,54205,41914,41488,
        4214 Early childhood educators and assistants,63810,27103,27042,
        4215 Instructors of persons with disabilities,3315,40482,41952,
        4216 Other instructors,12260,9171,17668,
        4217 Other religious occupations,2955,19202,27693,
    43 Occupations in front-line public protection services,59385,96213,88880,
      431 Occupations in front-line public protection services,59380,96213,88880,
        4311 Police officers (except commissioned),30740,104812,101621,
        4312 Firefighters,12875,100158,95075,
        4313 Non-commissioned ranks of the Canadian Armed Forces,15765,63606,58978,
"    44 Care providers and educational, legal and public protection support occupations",131710,22214,26600,
      441 Home care providers and educational support occupations,119805,20047,22507,
        4411 Home child care providers,36090,12425,15648,
"        4412 Home support workers, housekeepers and related occupations",36940,23893,25634,
        4413 Elementary and secondary school teacher assistants,46775,26903,25331,
      442 Legal and public protection support occupations,11905,72430,67781,
        4421 Sheriffs and bailiffs,510,31163,37771,
        4422 Correctional service officers,6735,77353,73658,
"        4423 By-law enforcement and other regulatory officers, n.e.c.",4655,66011,62588,
"  5 Occupations in art, culture, recreation and sport",226905,17743,31061,
    51 Professional occupations in art and culture,77975,22348,35993,
"      511 Librarians, archivists, conservators and curators",5635,59966,59329,
        5111 Librarians,4140,63199,62632,
        5112 Conservators and curators,900,51638,49841,
        5113 Archivists,595,52185,50711,
"      512 Writing, translating and related communications professionals",29915,35186,42316,
        5121 Authors and writers,12320,30504,41623,
        5122 Editors,8170,41487,44449,
