"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Belleville,,,,
Global non-response rate (GNR) =   4.8 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"    41 Professional occupations in law and social, community and government services",1050,52994,59642,
"      411 Judges, lawyers and Quebec notaries",105,94437,137956,
        4111 Judges,15,0,0,
        4112 Lawyers and Quebec notaries,85,88817,112620,
      415 Social and community service professionals,590,51811,50288,
        4151 Psychologists,20,0,0,
        4152 Social workers,180,67100,60292,
"        4153 Family, marriage and other related counsellors",125,50188,44233,
        4154 Professional occupations in religion,110,42102,44959,
        4155 Probation and parole officers and related occupations,40,79372,75359,
        4156 Employment counsellors,115,31047,36039,
"      416 Policy and program researchers, consultants and officers",355,42313,51726,
"        4161 Natural and applied science policy researchers, consultants and program officers",10,0,0,
        4162 Economists and economic policy researchers and analysts,15,0,0,
        4163 Business development officers and marketing researchers and consultants,75,27721,37397,
"        4164 Social policy researchers, consultants and program officers",55,79936,73391,
"        4165 Health policy researchers, consultants and program officers",55,36057,44212,
"        4166 Education policy researchers, consultants and program officers",65,96899,87029,
"        4167 Recreation, sports and fitness policy researchers, consultants and program officers",25,0,0,
        4168 Program officers unique to government,35,0,0,
"        4169 Other professional occupations in social science, n.e.c.",15,0,0,
"    42 Paraprofessional occupations in legal, social, community and education services",1465,32127,33731,
"      421 Paraprofessional occupations in legal, social, community and education services",1465,32127,33731,
        4211 Paralegal and related occupations,75,37712,34831,
