"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = St. John's,,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
        5221 Photographers,80,26239,27334,
        5222 Film and video camera operators,20,0,0,
        5223 Graphic arts technicians,0,0,0,
        5224 Broadcast technicians,30,63713,60323,
        5225 Audio and video recording technicians,40,30106,32052,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",75,40553,42956,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",65,20063,33624,
"      523 Announcers and other performers, n.e.c.",75,50955,40491,
        5231 Announcers and other broadcasters,50,54755,48703,
"        5232 Other performers, n.e.c.",25,0,0,
      524 Creative designers and craftspersons,490,30203,29099,
        5241 Graphic designers and illustrators,280,35654,36090,
        5242 Interior designers and interior decorators,90,28564,26286,
"        5243 Theatre, fashion, exhibit and other creative designers",60,7466,13920,
        5244 Artisans and craftspersons,60,11403,13628,
"        5245 Patternmakers - textile, leather and fur products",0,0,0,
"      525 Athletes, coaches, referees and related occupations",1265,7495,13261,
        5251 Athletes,15,0,0,
        5252 Coaches,70,10814,17043,
        5253 Sports officials and referees,40,0,0,
"        5254 Program leaders and instructors in recreation, sport and fitness",1140,7095,12183,
  6 Sales and service occupations,27735,19825,26701,
    62 Retail sales supervisors and specialized sales occupations,2430,40066,54805,
      621 Retail sales supervisors,515,24310,27604,
        6211 Retail sales supervisors,515,24310,27604,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,730,52062,64631,
        6221 Technical sales specialists - wholesale trade,435,64439,77424,
        6222 Retail and wholesale buyers,300,31838,46020,
"      623 Insurance, real estate and financial sales occupations",1185,43584,60595,
        6231 Insurance agents and brokers,450,43446,56060,
        6232 Real estate agents and salespersons,430,43170,70006,
        6235 Financial sales representatives,305,47355,53974,
    63 Service supervisors and specialized service occupations,3600,24131,28178,
      631 Service supervisors,670,26376,32022,
        6311 Food service supervisors,440,22224,25689,
        6312 Executive housekeepers,15,0,0,
"        6313 Accommodation, travel, tourism and related services supervisors",15,0,0,
        6314 Customer and information services supervisors,70,38333,45686,
        6315 Cleaning supervisors,40,33375,34911,
        6316 Other services supervisors,105,38815,45463,
      632 Chefs and cooks,1695,21646,27757,
        6321 Chefs,270,36963,42774,
        6322 Cooks,1425,19369,24903,
      633 Butchers and bakers,385,26788,27412,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",95,36710,33661,
        6332 Bakers,285,25052,25333,
      634 Specialized occupations in personal and customer services,845,24200,26318,
        6341 Hairstylists and barbers,700,23925,25533,
"        6342 Tailors, dressmakers, furriers and milliners",85,20354,21362,
        6343 Shoe repairers and shoemakers,10,0,0,
"        6344 Jewellers, jewellery and watch repairers and related occupations",20,0,0,
        6345 Upholsterers,15,0,0,
        6346 Funeral directors and embalmers,20,0,0,
    64 Sales representatives and salespersons - wholesale and retail trade,5840,19725,27669,
      641 Sales and account representatives - wholesale trade (non-technical),665,53868,56730,
        6411 Sales and account representatives - wholesale trade (non-technical),665,53868,56730,
      642 Retail salespersons,5175,16475,23943,
        6421 Retail salespersons,5175,16475,23943,
    65 Service representatives and other customer and personal services occupations,5440,20390,25579,
      651 Occupations in food and beverage service,1945,12874,15292,
        6511 Maîtres d'hôtel and hosts/hostesses,170,7649,7654,
        6512 Bartenders,380,17221,18110,
        6513 Food and beverage servers,1400,12847,15446,
      652 Occupations in travel and accommodation,565,29590,30822,
        6521 Travel counsellors,175,30784,31621,
        6522 Pursers and flight attendants,55,36355,37733,
        6523 Airline ticket and service agents,130,29329,29401,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",10,0,0,
        6525 Hotel front desk clerks,200,29109,28551,
      653 Tourism and amusement services occupations,60,0,0,
        6531 Tour and travel guides,40,9229,9105,
        6532 Outdoor sport and recreational guides,20,0,0,
        6533 Casino occupations,0,0,0,
      654 Security guards and related security service occupations,970,28590,32243,
        6541 Security guards and related security service occupations,970,28590,32243,
      655 Customer and information services representatives,1505,31521,32438,
        6551 Customer services representatives - financial institutions,320,25926,27739,
        6552 Other customer and information services representatives,1175,32790,33718,
      656 Other occupations in personal service,400,18359,21215,
"        6561 Image, social and other personal consultants",20,0,0,
"        6562 Estheticians, electrologists and related occupations",260,19894,20303,
        6563 Pet groomers and animal care workers,125,16210,23869,
        6564 Other personal service occupations,0,0,0,
    66 Sales support occupations,4130,10675,14679,
      661 Cashiers,2785,9286,12131,
        6611 Cashiers,2785,9286,12131,
      662 Other sales support and related occupations,1345,15442,19950,
        6621 Service station attendants,65,15057,14398,
"        6622 Store shelf stockers, clerks and order fillers",1150,15584,19343,
        6623 Other sales related occupations,135,15585,27870,
"    67 Service support and other service occupations, n.e.c.",6300,18583,22970,
"      671 Food counter attendants, kitchen helpers and related support occupations",2535,11263,15861,
