"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Winnipeg,,,,
Global non-response rate (GNR) =   4.0 %,,,,
Visible minority (15) = Total - Visible minority [1],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [2]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [3],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [4],Median employment income in 2015 ($) [5],Average employment income in 2015 ($) [6], 
"      225 Technical occupations in architecture, drafting, surveying, geomatics and meteorology",1350,49715,51308,
        2251 Architectural technologists and technicians,120,46457,50414,
        2252 Industrial designers,145,43931,44470,
        2253 Drafting technologists and technicians,775,49278,51928,
        2254 Land survey technologists and technicians,95,35659,35951,
        2255 Technical occupations in geomatics and meteorology,215,58341,60982,
      226 Other technical inspectors and regulatory officers,1225,61218,60026,
        2261 Non-destructive testers and inspection technicians,95,59390,61387,
        2262 Engineering inspectors and regulatory officers,145,72225,72332,
        2263 Inspectors in public and environmental health and occupational health and safety,645,61225,59649,
        2264 Construction inspectors,335,57826,55057,
      227 Transportation officers and controllers,770,89992,105461,
"        2271 Air pilots, flight engineers and flying instructors",495,89673,97436,
        2272 Air traffic controllers and related occupations,215,115983,134648,
"        2273 Deck officers, water transport",15,0,0,
"        2274 Engineer officers, water transport",10,0,0,
        2275 Railway traffic controllers and marine traffic regulators,40,65452,63257,
      228 Technical occupations in computer and information systems,3185,54485,56024,
        2281 Computer network technicians,1695,58679,60898,
        2282 User support technicians,1350,49117,50256,
        2283 Information systems testing technicians,140,58177,52561,
  3 Health occupations,35410,46445,59140,
    30 Professional occupations in nursing,9085,72430,68912,
      301 Professional occupations in nursing,9085,72430,68912,
        3011 Nursing co-ordinators and supervisors,250,79193,81023,
        3012 Registered nurses and registered psychiatric nurses,8835,72168,68566,
    31 Professional occupations in health (except nursing),7175,72997,99812,
"      311 Physicians, dentists and veterinarians",3500,89067,130738,
        3111 Specialist physicians,1350,95464,143719,
        3112 General practitioners and family physicians,1430,70459,114366,
        3113 Dentists,520,136857,161597,
        3114 Veterinarians,205,79449,81391,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",730,86015,91039,
        3121 Optometrists,130,90943,117925,
        3122 Chiropractors,285,82319,99010,
        3124 Allied primary health practitioners,250,90668,79028,
        3125 Other professional occupations in health diagnosing and treating,70,35755,51251,
"      313 Pharmacists, dietitians and nutritionists",1325,76613,78757,
        3131 Pharmacists,1015,95653,88676,
        3132 Dietitians and nutritionists,315,46336,46816,
      314 Therapy and assessment professionals,1620,56306,54127,
