"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Canada [1],,,,
Global non-response rate (GNR) =   5.1 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
"      512 Writing, translating and related communications professionals",73290,34316,40611,
        5121 Authors and writers,26215,28373,38363,
        5122 Editors,17570,39062,42710,
        5123 Journalists,12090,45041,51005,
"        5125 Translators, terminologists and interpreters",17420,28966,34665,
      513 Creative and performing artists,105315,14508,28183,
"        5131 Producers, directors, choreographers and related occupations",26220,45313,54022,
"        5132 Conductors, composers and arrangers",3980,17281,29340,
        5133 Musicians and singers,33465,11435,18900,
        5134 Dancers,9785,10535,15975,
        5135 Actors and comedians,12575,9438,20286,
"        5136 Painters, sculptors and other visual artists",19290,10769,20274,
"    52 Technical occupations in art, culture, recreation and sport",376810,17152,28730,
"      521 Technical occupations in libraries, public archives, museums and art galleries",18650,25999,29222,
        5211 Library and public archive technicians,10110,37336,37302,
        5212 Technical occupations related to museums and art galleries,8535,12017,19649,
"      522 Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",72140,31778,39645,
        5221 Photographers,17060,12873,20967,
        5222 Film and video camera operators,5180,34074,40067,
        5223 Graphic arts technicians,8930,38658,46180,
        5224 Broadcast technicians,2150,58880,57276,
        5225 Audio and video recording technicians,12980,40056,46342,
"        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",15050,42305,49157,
"        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",10790,31077,38724,
"      523 Announcers and other performers, n.e.c.",12275,19654,36148,
        5231 Announcers and other broadcasters,5905,36649,51598,
"        5232 Other performers, n.e.c.",6370,11200,21828,
      524 Creative designers and craftspersons,113680,30585,36474,
        5241 Graphic designers and illustrators,60105,35988,39966,
        5242 Interior designers and interior decorators,24570,29902,36173,
"        5243 Theatre, fashion, exhibit and other creative designers",14180,29880,38715,
        5244 Artisans and craftspersons,13815,12480,19048,
"        5245 Patternmakers - textile, leather and fur products",1015,38947,42875,
"      525 Athletes, coaches, referees and related occupations",160070,7922,17686,
        5251 Athletes,2800,17210,150170,
        5252 Coaches,10795,21869,33778,
        5253 Sports officials and referees,4610,2786,10275,
"        5254 Program leaders and instructors in recreation, sport and fitness",141865,7469,14090,
  6 Sales and service occupations,4376350,18314,26558,
    62 Retail sales supervisors and specialized sales occupations,402700,42646,57110,
      621 Retail sales supervisors,65710,29303,34945,
        6211 Retail sales supervisors,65710,29303,34945,
      622 Technical sales specialists in wholesale trade and retail and wholesale buyers,114755,55172,72066,
        6221 Technical sales specialists - wholesale trade,77835,69735,86959,
        6222 Retail and wholesale buyers,36920,31052,40674,
"      623 Insurance, real estate and financial sales occupations",222235,43077,55940,
        6231 Insurance agents and brokers,70500,46418,57315,
        6232 Real estate agents and salespersons,88525,31366,51390,
        6235 Financial sales representatives,63210,46798,60781,
    63 Service supervisors and specialized service occupations,580175,20916,24962,
      631 Service supervisors,91240,29369,35434,
        6311 Food service supervisors,43095,22853,25571,
        6312 Executive housekeepers,3905,35029,37090,
"        6313 Accommodation, travel, tourism and related services supervisors",5045,43955,46302,
        6314 Customer and information services supervisors,11955,47676,51949,
        6315 Cleaning supervisors,11670,40665,44593,
        6316 Other services supervisors,15570,34654,39250,
      632 Chefs and cooks,291980,19688,22973,
        6321 Chefs,61005,27917,31376,
        6322 Cooks,230970,17914,20754,
      633 Butchers and bakers,64215,23466,25544,
"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",19845,30669,30697,
        6332 Bakers,44370,20940,23239,
      634 Specialized occupations in personal and customer services,132740,17368,21857,
        6341 Hairstylists and barbers,99830,16398,19999,
"        6342 Tailors, dressmakers, furriers and milliners",16775,17699,20442,
        6343 Shoe repairers and shoemakers,1385,19372,23434,
"        6344 Jewellers, jewellery and watch repairers and related occupations",4800,19296,24753,
        6345 Upholsterers,5115,28172,29910,
        6346 Funeral directors and embalmers,4840,49015,53266,
    64 Sales representatives and salespersons - wholesale and retail trade,814555,18090,29320,
      641 Sales and account representatives - wholesale trade (non-technical),111660,51045,62590,
        6411 Sales and account representatives - wholesale trade (non-technical),111665,51045,62590,
      642 Retail salespersons,702890,15732,24035,
        6421 Retail salespersons,702890,15732,24035,
    65 Service representatives and other customer and personal services occupations,928760,19829,25390,
      651 Occupations in food and beverage service,313170,12385,14920,
        6511 MaÓtres d'hÙtel and hosts/hostesses,30180,6438,9250,
        6512 Bartenders,42580,15385,17198,
        6513 Food and beverage servers,240415,12655,15228,
      652 Occupations in travel and accommodation,81035,30904,34105,
        6521 Travel counsellors,25010,30416,32507,
        6522 Pursers and flight attendants,15990,47856,47119,
        6523 Airline ticket and service agents,13650,35221,38410,
"        6524 Ground and water transport ticket agents, cargo service representatives and related clerks",3270,35700,38669,
        6525 Hotel front desk clerks,23110,22596,23640,
      653 Tourism and amusement services occupations,24330,25318,28845,
        6531 Tour and travel guides,5715,9604,14652,
        6532 Outdoor sport and recreational guides,4945,14982,20704,
        6533 Casino occupations,13665,38327,37727,
      654 Security guards and related security service occupations,124070,27240,30977,
        6541 Security guards and related security service occupations,124075,27240,30977,
      655 Customer and information services representatives,300440,30194,33232,
        6551 Customer services representatives - financial institutions,79210,30035,32715,
        6552 Other customer and information services representatives,221230,30257,33417,
      656 Other occupations in personal service,85715,14850,18846,
"        6561 Image, social and other personal consultants",2845,16720,26444,
"        6562 Estheticians, electrologists and related occupations",57135,15588,19079,
        6563 Pet groomers and animal care workers,23465,13011,17678,
        6564 Other personal service occupations,2260,10576,15510,
    66 Sales support occupations,616185,11402,15690,
      661 Cashiers,364090,10054,13002,
        6611 Cashiers,364095,10054,13002,
      662 Other sales support and related occupations,252095,14310,19570,
        6621 Service station attendants,18865,12525,17662,
"        6622 Store shelf stockers, clerks and order fillers",189935,14547,18442,
        6623 Other sales related occupations,43295,14126,25352,
