"Occupation - National Occupational Classification (NOC) 2016 (691), Employment Income Statistics (3), Highest Certificate, Diploma or Degree (7), Visible Minority (15), Work Activity During the Reference Year (4), Age (4D) and Sex (3) for the Population Aged 15 Years and Over Who Worked in 2015 and Reported Employment Income in 2015, in Private Households of Canada, Provinces and Territories and Census Metropolitan Areas, 2016 Census - 25% Sample Data",,,,
Geography = Brantford [1],,,,
Global non-response rate (GNR) =   5.3 %,,,,
Visible minority (15) = Total - Visible minority [2],,,,
"Highest certificate, diploma or degree (7) = Total - Highest certificate, diploma or degree [3]",,,,
Work activity during the reference year (4) = Total - Work activity during the reference year [4],,,,
Age (4D) = Total - Age,,,,
Sex (3) = Total - Sex,,,,
Occupation - National Occupational Classification (NOC) 2016 (691),Total - Number of employment income recipients [5],Median employment income in 2015 ($) [6],Average employment income in 2015 ($) [7], 
        3012 Registered nurses and registered psychiatric nurses,1115,72401,66291,
    31 Professional occupations in health (except nursing),645,69397,89234,
"      311 Physicians, dentists and veterinarians",295,91153,120230,
        3111 Specialist physicians,85,140835,171964,
        3112 General practitioners and family physicians,120,98562,120433,
        3113 Dentists,45,70319,58073,
        3114 Veterinarians,40,60601,68910,
"      312 Optometrists, chiropractors and other health diagnosing and treating professionals",105,69927,72585,
        3121 Optometrists,10,0,0,
        3122 Chiropractors,35,98131,97346,
        3124 Allied primary health practitioners,45,77440,67158,
        3125 Other professional occupations in health diagnosing and treating,15,0,0,
"      313 Pharmacists, dietitians and nutritionists",75,90541,76891,
        3131 Pharmacists,55,104484,88319,
        3132 Dietitians and nutritionists,20,0,0,
      314 Therapy and assessment professionals,175,49053,52279,
        3141 Audiologists and speech-language pathologists,15,0,0,
        3142 Physiotherapists,75,64255,65384,
        3143 Occupational therapists,45,47429,48044,
        3144 Other professional occupations in therapy and assessment,40,34561,32493,
    32 Technical occupations in health,1300,45381,47965,
      321 Medical technologists and technicians (except dental health),535,39859,44547,
        3211 Medical laboratory technologists,45,61031,55043,
        3212 Medical laboratory technicians and pathologists' assistants,35,33678,33080,
        3213 Animal health technologists and veterinary technicians,70,35560,32008,
"        3214 Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",25,0,58919,
        3215 Medical radiation technologists,70,67593,60498,
        3216 Medical sonographers,20,0,0,
"        3217 Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",20,0,69150,
        3219 Other medical technologists and technicians (except dental health),240,32835,36786,
      322 Technical occupations in dental health care,125,50437,46347,
        3221 Denturists,10,0,0,
        3222 Dental hygienists and dental therapists,105,49526,46753,
"        3223 Dental technologists, technicians and laboratory assistants",10,0,0,
      323 Other technical occupations in health care,635,50037,51147,
        3231 Opticians,50,42067,44586,
        3232 Practitioners of natural healing,25,0,0,
        3233 Licensed practical nurses,265,57650,51846,
        3234 Paramedical occupations,125,92373,89882,
        3236 Massage therapists,120,19831,23953,
        3237 Other technical occupations in therapy and assessment,55,45280,40089,
