"","occupation","employment","median.income","mean.income","geography"
"363","        5222 Film and video camera operators","20","0","0","Abbotsford - Mission"
"364","        5223 Graphic arts technicians","10","0","0","Abbotsford - Mission"
"365","        5224 Broadcast technicians","10","0","0","Abbotsford - Mission"
"366","        5225 Audio and video recording technicians","30","0","0","Abbotsford - Mission"
"367","        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts","95","63403","65782","Abbotsford - Mission"
"368","        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts","50","47216","52667","Abbotsford - Mission"
"369","      523 Announcers and other performers, n.e.c.","35","0","0","Abbotsford - Mission"
"370","        5231 Announcers and other broadcasters","0","0","0","Abbotsford - Mission"
"371","        5232 Other performers, n.e.c.","35","0","0","Abbotsford - Mission"
"372","      524 Creative designers and craftspersons","310","24814","30588","Abbotsford - Mission"
"373","        5241 Graphic designers and illustrators","125","27357","30089","Abbotsford - Mission"
"374","        5242 Interior designers and interior decorators","85","30087","40003","Abbotsford - Mission"
"375","        5243 Theatre, fashion, exhibit and other creative designers","15","0","0","Abbotsford - Mission"
"376","        5244 Artisans and craftspersons","80","17952","21046","Abbotsford - Mission"
"377","        5245 Patternmakers - textile, leather and fur products","0","0","0","Abbotsford - Mission"
"378","      525 Athletes, coaches, referees and related occupations","640","11956","21021","Abbotsford - Mission"
"379","        5251 Athletes","10","0","0","Abbotsford - Mission"
"380","        5252 Coaches","75","15121","24601","Abbotsford - Mission"
"381","        5253 Sports officials and referees","10","0","0","Abbotsford - Mission"
"382","        5254 Program leaders and instructors in recreation, sport and fitness","545","11577","19724","Abbotsford - Mission"
"383","  6 Sales and service occupations","20635","17301","24927","Abbotsford - Mission"
"384","    62 Retail sales supervisors and specialized sales occupations","1785","44317","52214","Abbotsford - Mission"
"385","      621 Retail sales supervisors","255","40376","44007","Abbotsford - Mission"
"386","        6211 Retail sales supervisors","255","40376","44007","Abbotsford - Mission"
"387","      622 Technical sales specialists in wholesale trade and retail and wholesale buyers","455","56282","65172","Abbotsford - Mission"
"388","        6221 Technical sales specialists - wholesale trade","310","66368","76009","Abbotsford - Mission"
"389","        6222 Retail and wholesale buyers","155","45607","43146","Abbotsford - Mission"
"390","      623 Insurance, real estate and financial sales occupations","1080","39019","48648","Abbotsford - Mission"
"391","        6231 Insurance agents and brokers","370","34967","37922","Abbotsford - Mission"
"392","        6232 Real estate agents and salespersons","460","46459","55967","Abbotsford - Mission"
"393","        6235 Financial sales representatives","240","43040","51051","Abbotsford - Mission"
"394","    63 Service supervisors and specialized service occupations","2675","20008","23918","Abbotsford - Mission"
"395","      631 Service supervisors","400","28354","33932","Abbotsford - Mission"
"396","        6311 Food service supervisors","225","25386","28042","Abbotsford - Mission"
"397","        6312 Executive housekeepers","25","0","0","Abbotsford - Mission"
"398","        6313 Accommodation, travel, tourism and related services supervisors","10","0","0","Abbotsford - Mission"
"399","        6314 Customer and information services supervisors","35","59907","63743","Abbotsford - Mission"
"400","        6315 Cleaning supervisors","45","32643","30087","Abbotsford - Mission"
"401","        6316 Other services supervisors","55","37782","42962","Abbotsford - Mission"
"402","      632 Chefs and cooks","1285","19004","21498","Abbotsford - Mission"
"403","        6321 Chefs","290","25685","28847","Abbotsford - Mission"
"404","        6322 Cooks","995","18269","19369","Abbotsford - Mission"
"405","      633 Butchers and bakers","320","27876","30622","Abbotsford - Mission"
"406","        6331 Butchers, meat cutters and fishmongers - retail and wholesale","65","45707","44775","Abbotsford - Mission"
"407","        6332 Bakers","255","23353","27138","Abbotsford - Mission"
"408","      634 Specialized occupations in personal and customer services","670","15785","19458","Abbotsford - Mission"
"409","        6341 Hairstylists and barbers","525","15016","18601","Abbotsford - Mission"
"410","        6342 Tailors, dressmakers, furriers and milliners","75","8559","12195","Abbotsford - Mission"
"411","        6343 Shoe repairers and shoemakers","0","0","0","Abbotsford - Mission"
"412","        6344 Jewellers, jewellery and watch repairers and related occupations","20","0","0","Abbotsford - Mission"
"413","        6345 Upholsterers","30","0","0","Abbotsford - Mission"
"414","        6346 Funeral directors and embalmers","30","0","0","Abbotsford - Mission"
"415","    64 Sales representatives and salespersons - wholesale and retail trade","3840","18751","30490","Abbotsford - Mission"
"416","      641 Sales and account representatives - wholesale trade (non-technical)","505","52113","59265","Abbotsford - Mission"
"417","        6411 Sales and account representatives - wholesale trade (non-technical)","510","52113","59265","Abbotsford - Mission"
"418","      642 Retail salespersons","3330","16943","26109","Abbotsford - Mission"
"419","        6421 Retail salespersons","3330","16943","26109","Abbotsford - Mission"
"420","    65 Service representatives and other customer and personal services occupations","4025","17326","22451","Abbotsford - Mission"
"421","      651 Occupations in food and beverage service","1355","10655","11898","Abbotsford - Mission"
"422","        6511 Maîtres d'hôtel and hosts/hostesses","195","5736","7860","Abbotsford - Mission"
"423","        6512 Bartenders","120","12578","15818","Abbotsford - Mission"
"424","        6513 Food and beverage servers","1035","11682","12212","Abbotsford - Mission"
"425","      652 Occupations in travel and accommodation","260","29128","28888","Abbotsford - Mission"
"426","        6521 Travel counsellors","115","28257","27334","Abbotsford - Mission"
"427","        6522 Pursers and flight attendants","35","48730","34886","Abbotsford - Mission"
"428","        6523 Airline ticket and service agents","25","0","42159","Abbotsford - Mission"
"429","        6524 Ground and water transport ticket agents, cargo service representatives and related clerks","10","0","0","Abbotsford - Mission"
"430","        6525 Hotel front desk clerks","80","23402","22047","Abbotsford - Mission"
"431","      653 Tourism and amusement services occupations","40","22850","24284","Abbotsford - Mission"
"432","        6531 Tour and travel guides","0","0","0","Abbotsford - Mission"
"433","        6532 Outdoor sport and recreational guides","10","0","0","Abbotsford - Mission"
"434","        6533 Casino occupations","30","0","0","Abbotsford - Mission"
"435","      654 Security guards and related security service occupations","670","23891","28156","Abbotsford - Mission"
"436","        6541 Security guards and related security service occupations","670","23891","28156","Abbotsford - Mission"
"437","      655 Customer and information services representatives","1170","28337","31497","Abbotsford - Mission"
"438","        6551 Customer services representatives - financial institutions","345","28815","30312","Abbotsford - Mission"
"439","        6552 Other customer and information services representatives","820","28160","31993","Abbotsford - Mission"
