NOC6_2 digit,NOC16_4 digit,Introspection 1,Introspection 2
    51 Professional occupations in art and culture,"        5136 Painters, sculptors and other visual artists",0.5,1
"    52 Technical occupations in art, culture, recreation and sport",        5211 Library and public archive technicians,0,0
"    52 Technical occupations in art, culture, recreation and sport",        5212 Technical occupations related to museums and art galleries,0,0
"    52 Technical occupations in art, culture, recreation and sport",        5222 Film and video camera operators,0,0
"    52 Technical occupations in art, culture, recreation and sport",        5223 Graphic arts technicians,0.5,1
"    52 Technical occupations in art, culture, recreation and sport","        5226 Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",0,1
"    52 Technical occupations in art, culture, recreation and sport","        5227 Support occupations in motion pictures, broadcasting, photography and the performing arts",0,0
"    52 Technical occupations in art, culture, recreation and sport","        5243 Theatre, fashion, exhibit and other creative designers",0,0
"    52 Technical occupations in art, culture, recreation and sport",        5244 Artisans and craftspersons,0,1
"    52 Technical occupations in art, culture, recreation and sport",        5253 Sports officials and referees,0,0
    62 Retail sales supervisors and specialized sales occupations,        6222 Retail and wholesale buyers,0,0.5
    63 Service supervisors and specialized service occupations,        6311 Food service supervisors,0.5,0
    63 Service supervisors and specialized service occupations,        6312 Executive housekeepers,0.5,0.5
    63 Service supervisors and specialized service occupations,"        6313 Accommodation, travel, tourism and related services supervisors",0,0.5
    63 Service supervisors and specialized service occupations,        6315 Cleaning supervisors,0,0.5
    63 Service supervisors and specialized service occupations,        6316 Other services supervisors,0.5,0.5
    63 Service supervisors and specialized service occupations,        6321 Chefs,0,0
    63 Service supervisors and specialized service occupations,        6322 Cooks,0,0
    63 Service supervisors and specialized service occupations,"        6331 Butchers, meat cutters and fishmongers - retail and wholesale",0,0
    63 Service supervisors and specialized service occupations,        6332 Bakers,1,0
    63 Service supervisors and specialized service occupations,        6341 Hairstylists and barbers,0,0
    63 Service supervisors and specialized service occupations,"        6342 Tailors, dressmakers, furriers and milliners",0.5,0
    63 Service supervisors and specialized service occupations,        6343 Shoe repairers and shoemakers,0.5,0
    63 Service supervisors and specialized service occupations,"        6344 Jewellers, jewellery and watch repairers and related occupations",0,0
    63 Service supervisors and specialized service occupations,        6345 Upholsterers,0,0.5
    63 Service supervisors and specialized service occupations,        6346 Funeral directors and embalmers,0,0.5
    64 Sales representatives and salespersons - wholesale and retail trade,        6421 Retail salespersons,0,0
    65 Service representatives and other customer and personal services occupations,        6511 Maîtres d'hôtel and hosts/hostesses,0,0
    65 Service representatives and other customer and personal services occupations,        6512 Bartenders,0,0
    65 Service representatives and other customer and personal services occupations,        6513 Food and beverage servers,0,0
    65 Service representatives and other customer and personal services occupations,        6522 Pursers and flight attendants,0,0
    65 Service representatives and other customer and personal services occupations,        6525 Hotel front desk clerks,0,0
    65 Service representatives and other customer and personal services occupations,        6531 Tour and travel guides,0,0
    65 Service representatives and other customer and personal services occupations,        6532 Outdoor sport and recreational guides,0,0
    65 Service representatives and other customer and personal services occupations,        6533 Casino occupations,0,0
    65 Service representatives and other customer and personal services occupations,        6541 Security guards and related security service occupations,0,0
    65 Service representatives and other customer and personal services occupations,"        6562 Estheticians, electrologists and related occupations",0,0
    65 Service representatives and other customer and personal services occupations,        6563 Pet groomers and animal care workers,0,0
    65 Service representatives and other customer and personal services occupations,        6564 Other personal service occupations,0,0
    66 Sales support occupations,        6611 Cashiers,0,0
    66 Sales support occupations,        6621 Service station attendants,0,0
    66 Sales support occupations,"        6622 Store shelf stockers, clerks and order fillers",0,0
    66 Sales support occupations,        6623 Other sales related occupations,0,0
"    67 Service support and other service occupations, n.e.c.","        6711 Food counter attendants, kitchen helpers and related support occupations",0,0
"    67 Service support and other service occupations, n.e.c.","        6721 Support occupations in accommodation, travel and facilities set-up services",0,0
"    67 Service support and other service occupations, n.e.c.","        6722 Operators and attendants in amusement, recreation and sport",0,0
"    67 Service support and other service occupations, n.e.c.",        6731 Light duty cleaners,0,0
"    67 Service support and other service occupations, n.e.c.",        6732 Specialized cleaners,0,0
"    67 Service support and other service occupations, n.e.c.","        6733 Janitors, caretakers and building superintendents",0,0
"    67 Service support and other service occupations, n.e.c.","        6741 Dry cleaning, laundry and related occupations",0,0.5
"    67 Service support and other service occupations, n.e.c.","        6742 Other service support occupations, n.e.c.",0,0.5
"    72 Industrial, electrical and construction trades","        7201 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",0.5,0
"    72 Industrial, electrical and construction trades","        7202 Contractors and supervisors, electrical trades and telecommunications occupations",0.5,0
